order_id,product_id,product_name,category_id,category_name,quantity,unit_price,line_total
O0174,P006,Portable SSD 1TB,CAT01,Electronics,3,334.75,1004.25
O0175,P025,Air Fryer,CAT04,Kitchen,2,96.6,193.2
O0175,P027,Dumbbell Set,CAT05,Sports,2,186.86,373.72
O0176,P020,Rain Jacket,CAT03,Clothing,3,43.08,129.24
O0176,P047,Dash Cam,CAT09,Automotive,3,91.48,274.44
O0176,P021,Stainless Steel Pan,CAT04,Kitchen,1,57.36,57.36
O0177,P010,Wireless Charger,CAT01,Electronics,1,181.41,181.41
O0178,P044,Lipstick Set,CAT08,Beauty,1,26.8,26.8
O0179,P043,Perfume,CAT08,Beauty,2,7.22,14.44
O0179,P028,Tennis Racket,CAT05,Sports,2,78.2,156.4
O0179,P032,Cookbook,CAT06,Books,2,22.84,45.68
O0179,P039,Action Figure,CAT07,Toys,1,59.13,59.13
O0180,P023,Coffee Maker,CAT04,Kitchen,2,141.47,282.94
O0181,P044,Lipstick Set,CAT08,Beauty,2,26.8,53.6
O0181,P038,Puzzle 1000pc,CAT07,Toys,3,29.0,87.0
O0182,P003,27-inch Monitor,CAT01,Electronics,2,355.34,710.68
O0182,P015,Standing Desk Converter,CAT02,Furniture,3,200.84,602.52
O0183,P014,Filing Cabinet,CAT02,Furniture,2,462.49,924.98
O0184,P049,Seat Cover Set,CAT09,Automotive,2,97.66,195.32
O0184,P017,Denim Jacket,CAT03,Clothing,2,79.96,159.92
O0185,P032,Cookbook,CAT06,Books,3,22.84,68.52
O0186,P009,Smart Speaker,CAT01,Electronics,3,320.06,960.18
O0186,P025,Air Fryer,CAT04,Kitchen,3,96.6,289.8
O0187,P005,Noise Cancelling Headphones,CAT01,Electronics,1,306.41,306.41
O0187,P026,Yoga Mat,CAT05,Sports,2,152.06,304.12
O0187,P048,Car Vacuum,CAT09,Automotive,1,122.65,122.65
O0188,P021,Stainless Steel Pan,CAT04,Kitchen,3,57.36,172.08
O0189,P046,Car Phone Mount,CAT09,Automotive,2,106.2,212.4
O0189,P041,Moisturizer Cream,CAT08,Beauty,1,49.98,49.98
O0189,P027,Dumbbell Set,CAT05,Sports,2,186.86,373.72
O0190,P011,Office Desk,CAT02,Furniture,2,57.81,115.62
O0190,P052,Stapler,CAT10,Office Supplies,3,42.85,128.55
O0190,P040,Board Game,CAT07,Toys,2,11.36,22.72
O0191,P055,Sticky Notes Pack,CAT10,Office Supplies,2,30.86,61.72
O0191,P007,Webcam HD,CAT01,Electronics,3,122.95,368.85
O0191,P016,Cotton T-Shirt,CAT03,Clothing,2,76.0,152.0
O0192,P026,Yoga Mat,CAT05,Sports,2,152.06,304.12
O0193,P015,Standing Desk Converter,CAT02,Furniture,1,200.84,200.84
O0193,P022,Blender,CAT04,Kitchen,1,21.8,21.8
O0193,P050,Tire Pressure Gauge,CAT09,Automotive,3,31.24,93.72
O0194,P034,History Book,CAT06,Books,3,7.11,21.33
O0195,P023,Coffee Maker,CAT04,Kitchen,3,141.47,424.41
O0195,P047,Dash Cam,CAT09,Automotive,1,91.48,91.48
O0195,P053,Desk Organizer,CAT10,Office Supplies,1,41.67,41.67
O0196,P017,Denim Jacket,CAT03,Clothing,1,79.96,79.96
O0196,P013,Bookshelf,CAT02,Furniture,3,131.8,395.4
O0197,P012,Ergonomic Chair,CAT02,Furniture,3,256.52,769.56
O0198,P049,Seat Cover Set,CAT09,Automotive,3,97.66,292.98
O0198,P037,Remote Control Car,CAT07,Toys,3,48.25,144.75
O0198,P038,Puzzle 1000pc,CAT07,Toys,3,29.0,87.0
O0198,P029,Soccer Ball,CAT05,Sports,3,13.85,41.55
O0199,P041,Moisturizer Cream,CAT08,Beauty,2,49.98,99.96
O0199,P021,Stainless Steel Pan,CAT04,Kitchen,1,57.36,57.36
O0199,P010,Wireless Charger,CAT01,Electronics,2,181.41,362.82
O0200,P051,Printer Paper Ream,CAT10,Office Supplies,3,21.11,63.33
O0200,P018,Running Shoes,CAT03,Clothing,1,29.39,29.39
