cancellation_id,flight_id,cancellation_reason,cancelled_at
CXL000950,FLT0019429,Mechanical Issue,2026-05-11 14:45:00
CXL000951,FLT0019466,Crew Shortage,2025-10-18 15:30:00
CXL000952,FLT0019475,Severe Weather,2026-01-31 18:45:00
CXL000953,FLT0019480,Mechanical Issue,2026-05-07 16:45:00
CXL000954,FLT0019507,Low Booking Demand,2025-11-22 07:30:00
CXL000955,FLT0019523,Airport Closure,2026-07-29 18:15:00
CXL000956,FLT0019529,Crew Shortage,2026-02-18 02:30:00
CXL000957,FLT0019536,Air Traffic Control,2025-10-31 18:00:00
CXL000958,FLT0019560,Crew Shortage,2026-06-25 21:00:00
CXL000959,FLT0019588,Mechanical Issue,2025-08-01 18:45:00
CXL000960,FLT0019598,Airport Closure,2026-06-20 14:45:00
CXL000961,FLT0019604,Mechanical Issue,2026-07-12 05:15:00
CXL000962,FLT0019612,Airport Closure,2025-12-21 23:00:00
CXL000963,FLT0019615,Airport Closure,2025-10-19 08:30:00
CXL000964,FLT0019632,Severe Weather,2025-12-31 12:15:00
CXL000965,FLT0019653,Crew Shortage,2026-01-17 19:30:00
CXL000966,FLT0019663,Severe Weather,2025-09-16 02:15:00
CXL000967,FLT0019677,Crew Shortage,2026-03-19 12:45:00
CXL000968,FLT0019689,Airport Closure,2025-08-31 17:45:00
CXL000969,FLT0019696,Low Booking Demand,2025-12-24 08:15:00
CXL000970,FLT0019717,Air Traffic Control,2025-11-09 19:30:00
CXL000971,FLT0019718,Air Traffic Control,2026-03-17 09:45:00
CXL000972,FLT0019781,Crew Shortage,2026-07-12 00:15:00
CXL000973,FLT0019815,Severe Weather,2026-04-20 03:00:00
CXL000974,FLT0019842,Mechanical Issue,2025-12-13 20:45:00
CXL000975,FLT0019848,Air Traffic Control,2025-11-28 05:45:00
CXL000976,FLT0019851,Severe Weather,2026-01-07 14:00:00
CXL000977,FLT0019875,Low Booking Demand,2026-06-24 05:00:00
CXL000978,FLT0019887,Severe Weather,2026-03-18 21:15:00
CXL000979,FLT0019907,Mechanical Issue,2026-02-10 07:45:00
CXL000980,FLT0019912,Mechanical Issue,2026-02-09 10:30:00
CXL000981,FLT0019933,Crew Shortage,2025-11-18 11:15:00
CXL000982,FLT0019934,Low Booking Demand,2025-12-10 01:30:00
CXL000983,FLT0019988,Severe Weather,2025-11-15 20:15:00
CXL000984,FLT0019990,Severe Weather,2025-09-17 07:30:00
CXL000985,FLT0020000,Crew Shortage,2025-09-04 12:15:00
CXL000986,FLT0020015,Mechanical Issue,2025-09-11 21:30:00
CXL000987,FLT0020036,Air Traffic Control,2025-08-14 05:30:00
CXL000988,FLT0020054,Air Traffic Control,2026-01-20 11:00:00
CXL000989,FLT0020067,Mechanical Issue,2026-04-10 15:30:00
CXL000990,FLT0020074,Mechanical Issue,2025-10-27 19:30:00
CXL000991,FLT0020075,Severe Weather,2026-03-05 21:00:00
CXL000992,FLT0020079,Airport Closure,2025-12-09 14:00:00
CXL000993,FLT0020080,Severe Weather,2026-01-20 23:15:00
CXL000994,FLT0020096,Crew Shortage,2026-03-16 21:15:00
CXL000995,FLT0020129,Low Booking Demand,2025-12-27 09:30:00
CXL000996,FLT0020133,Severe Weather,2026-05-13 03:45:00
CXL000997,FLT0020138,Low Booking Demand,2026-04-04 07:00:00
CXL000998,FLT0020142,Air Traffic Control,2026-05-11 23:45:00
CXL000999,FLT0020150,Air Traffic Control,2025-09-17 16:30:00
CXL001000,FLT0020182,Severe Weather,2025-08-05 06:00:00
CXL001001,FLT0020203,Severe Weather,2026-06-19 02:45:00
CXL001002,FLT0020245,Severe Weather,2025-12-08 04:00:00
CXL001003,FLT0020261,Airport Closure,2026-03-03 04:15:00
CXL001004,FLT0020304,Air Traffic Control,2025-12-24 18:30:00
CXL001005,FLT0020310,Severe Weather,2026-02-08 10:00:00
CXL001006,FLT0020335,Severe Weather,2025-11-06 00:15:00
CXL001007,FLT0020343,Severe Weather,2026-01-22 23:15:00
CXL001008,FLT0020372,Low Booking Demand,2026-04-07 03:15:00
CXL001009,FLT0020408,Low Booking Demand,2026-05-28 18:00:00
CXL001010,FLT0020422,Air Traffic Control,2026-07-19 19:30:00
CXL001011,FLT0020427,Mechanical Issue,2026-04-13 17:30:00
CXL001012,FLT0020453,Mechanical Issue,2025-11-29 21:15:00
CXL001013,FLT0020492,Low Booking Demand,2026-03-09 16:00:00
CXL001014,FLT0020545,Crew Shortage,2026-02-28 05:00:00
CXL001015,FLT0020561,Crew Shortage,2026-06-26 00:15:00
CXL001016,FLT0020637,Low Booking Demand,2026-07-31 01:45:00
CXL001017,FLT0020743,Airport Closure,2025-12-25 02:00:00
CXL001018,FLT0020749,Airport Closure,2026-02-05 04:30:00
CXL001019,FLT0020769,Air Traffic Control,2026-05-06 15:45:00
CXL001020,FLT0020807,Airport Closure,2025-11-22 01:00:00
CXL001021,FLT0020824,Crew Shortage,2026-07-19 00:45:00
CXL001022,FLT0020829,Low Booking Demand,2026-03-06 14:15:00
CXL001023,FLT0020833,Low Booking Demand,2026-01-11 18:45:00
CXL001024,FLT0020849,Mechanical Issue,2026-02-27 03:45:00
CXL001025,FLT0020870,Mechanical Issue,2026-06-21 22:15:00
CXL001026,FLT0020887,Severe Weather,2026-06-06 08:45:00
CXL001027,FLT0020914,Crew Shortage,2026-06-19 06:00:00
CXL001028,FLT0020918,Airport Closure,2025-12-24 08:30:00
CXL001029,FLT0020931,Low Booking Demand,2025-09-01 15:00:00
CXL001030,FLT0020953,Severe Weather,2026-07-05 08:00:00
CXL001031,FLT0021042,Low Booking Demand,2026-05-26 22:00:00
CXL001032,FLT0021075,Mechanical Issue,2026-05-01 22:15:00
CXL001033,FLT0021077,Air Traffic Control,2026-05-05 18:00:00
CXL001034,FLT0021107,Mechanical Issue,2026-06-17 12:15:00
CXL001035,FLT0021115,Severe Weather,2025-09-19 20:00:00
CXL001036,FLT0021124,Severe Weather,2026-03-31 20:30:00
CXL001037,FLT0021131,Air Traffic Control,2026-02-08 07:00:00
CXL001038,FLT0021183,Mechanical Issue,2025-09-13 00:45:00
CXL001039,FLT0021199,Air Traffic Control,2026-05-05 17:45:00
CXL001040,FLT0021203,Low Booking Demand,2025-12-29 06:15:00
CXL001041,FLT0021207,Crew Shortage,2026-06-10 20:30:00
CXL001042,FLT0021240,Air Traffic Control,2026-03-16 00:00:00
CXL001043,FLT0021245,Mechanical Issue,2026-02-11 21:00:00
CXL001044,FLT0021253,Low Booking Demand,2026-06-11 10:30:00
CXL001045,FLT0021255,Crew Shortage,2025-12-22 19:45:00
CXL001046,FLT0021263,Crew Shortage,2026-05-29 13:00:00
CXL001047,FLT0021273,Severe Weather,2026-07-31 06:00:00
CXL001048,FLT0021317,Airport Closure,2026-02-11 11:15:00
CXL001049,FLT0021346,Mechanical Issue,2026-05-30 06:00:00
CXL001050,FLT0021355,Air Traffic Control,2026-07-21 22:30:00
CXL001051,FLT0021390,Crew Shortage,2026-02-06 18:30:00
CXL001052,FLT0021414,Low Booking Demand,2026-07-25 15:30:00
CXL001053,FLT0021420,Airport Closure,2025-12-07 10:30:00
CXL001054,FLT0021422,Low Booking Demand,2025-11-30 04:30:00
CXL001055,FLT0021432,Air Traffic Control,2026-04-28 11:45:00
CXL001056,FLT0021461,Air Traffic Control,2025-12-18 14:15:00
CXL001057,FLT0021465,Airport Closure,2025-08-08 00:45:00
CXL001058,FLT0021478,Severe Weather,2026-01-30 16:45:00
CXL001059,FLT0021482,Mechanical Issue,2026-05-06 20:00:00
CXL001060,FLT0021486,Airport Closure,2026-07-20 15:45:00
CXL001061,FLT0021504,Crew Shortage,2025-10-12 03:15:00
CXL001062,FLT0021558,Mechanical Issue,2025-10-22 13:45:00
CXL001063,FLT0021561,Low Booking Demand,2025-08-28 15:15:00
CXL001064,FLT0021565,Crew Shortage,2026-06-28 03:30:00
CXL001065,FLT0021605,Low Booking Demand,2026-02-24 01:30:00
CXL001066,FLT0021623,Mechanical Issue,2025-10-21 00:00:00
CXL001067,FLT0021627,Low Booking Demand,2025-09-14 02:15:00
CXL001068,FLT0021638,Crew Shortage,2026-04-22 08:30:00
CXL001069,FLT0021696,Airport Closure,2026-01-18 20:00:00
CXL001070,FLT0021719,Crew Shortage,2026-02-07 23:45:00
CXL001071,FLT0021726,Airport Closure,2026-02-04 17:45:00
CXL001072,FLT0021773,Severe Weather,2026-01-31 06:45:00
CXL001073,FLT0021787,Severe Weather,2025-09-26 03:00:00
CXL001074,FLT0021792,Airport Closure,2026-04-23 11:15:00
CXL001075,FLT0021811,Airport Closure,2026-06-04 06:45:00
CXL001076,FLT0021830,Severe Weather,2026-06-08 06:00:00
CXL001077,FLT0021850,Airport Closure,2025-08-06 21:15:00
CXL001078,FLT0021865,Low Booking Demand,2025-10-08 03:15:00
CXL001079,FLT0021870,Mechanical Issue,2026-04-11 03:30:00
CXL001080,FLT0021901,Crew Shortage,2026-04-10 10:45:00
CXL001081,FLT0021904,Airport Closure,2026-05-10 21:45:00
CXL001082,FLT0021940,Crew Shortage,2025-09-15 03:30:00
CXL001083,FLT0021951,Severe Weather,2025-11-06 15:45:00
CXL001084,FLT0021961,Mechanical Issue,2026-06-15 13:30:00
CXL001085,FLT0021962,Air Traffic Control,2025-11-27 21:30:00
CXL001086,FLT0021970,Severe Weather,2026-06-17 21:45:00
CXL001087,FLT0021986,Air Traffic Control,2026-01-19 21:15:00
CXL001088,FLT0022066,Airport Closure,2026-01-05 04:45:00
CXL001089,FLT0022095,Crew Shortage,2026-07-03 03:45:00
CXL001090,FLT0022103,Low Booking Demand,2026-06-08 07:00:00
CXL001091,FLT0022116,Crew Shortage,2026-05-14 08:30:00
CXL001092,FLT0022142,Airport Closure,2026-03-30 17:45:00
CXL001093,FLT0022216,Air Traffic Control,2025-11-20 00:30:00
CXL001094,FLT0022254,Air Traffic Control,2025-09-30 09:00:00
CXL001095,FLT0022321,Mechanical Issue,2026-02-08 09:30:00
CXL001096,FLT0022327,Low Booking Demand,2026-04-30 17:45:00
CXL001097,FLT0022330,Mechanical Issue,2026-07-22 01:15:00
CXL001098,FLT0022337,Mechanical Issue,2026-05-22 09:30:00
CXL001099,FLT0022341,Severe Weather,2025-09-15 07:15:00
CXL001100,FLT0022345,Mechanical Issue,2025-11-05 16:15:00
CXL001101,FLT0022353,Air Traffic Control,2026-01-11 02:15:00
CXL001102,FLT0022357,Low Booking Demand,2026-05-27 07:15:00
CXL001103,FLT0022360,Mechanical Issue,2026-07-01 19:00:00
CXL001104,FLT0022429,Airport Closure,2025-12-04 14:00:00
CXL001105,FLT0022457,Mechanical Issue,2025-11-22 16:30:00
CXL001106,FLT0022461,Mechanical Issue,2025-08-02 05:30:00
CXL001107,FLT0022467,Air Traffic Control,2025-09-16 03:30:00
CXL001108,FLT0022480,Airport Closure,2026-02-26 04:15:00
CXL001109,FLT0022485,Crew Shortage,2025-12-04 23:15:00
CXL001110,FLT0022489,Mechanical Issue,2026-01-17 08:15:00
CXL001111,FLT0022541,Airport Closure,2026-02-09 13:00:00
CXL001112,FLT0022568,Air Traffic Control,2025-10-18 17:30:00
CXL001113,FLT0022593,Airport Closure,2026-05-25 11:00:00
CXL001114,FLT0022628,Low Booking Demand,2026-02-12 22:15:00
CXL001115,FLT0022668,Severe Weather,2026-01-19 06:15:00
CXL001116,FLT0022716,Low Booking Demand,2026-07-28 01:45:00
CXL001117,FLT0022771,Severe Weather,2025-09-19 23:45:00
CXL001118,FLT0022780,Airport Closure,2026-05-03 21:30:00
CXL001119,FLT0022806,Low Booking Demand,2026-05-07 10:15:00
CXL001120,FLT0022854,Air Traffic Control,2025-10-23 17:15:00
CXL001121,FLT0022857,Air Traffic Control,2026-03-13 06:45:00
CXL001122,FLT0022879,Low Booking Demand,2025-12-07 18:15:00
CXL001123,FLT0022891,Mechanical Issue,2025-10-02 04:30:00
CXL001124,FLT0022926,Severe Weather,2026-02-02 19:00:00
CXL001125,FLT0022939,Severe Weather,2025-12-26 13:00:00
CXL001126,FLT0022953,Mechanical Issue,2026-02-27 23:00:00
CXL001127,FLT0022988,Low Booking Demand,2025-12-13 08:30:00
CXL001128,FLT0023003,Mechanical Issue,2025-10-25 02:45:00
CXL001129,FLT0023021,Crew Shortage,2025-07-30 15:00:00
CXL001130,FLT0023030,Crew Shortage,2026-01-05 09:45:00
CXL001131,FLT0023035,Mechanical Issue,2025-08-20 07:30:00
CXL001132,FLT0023045,Mechanical Issue,2025-11-09 02:00:00
CXL001133,FLT0023056,Low Booking Demand,2026-07-13 16:00:00
CXL001134,FLT0023085,Severe Weather,2025-10-27 22:45:00
CXL001135,FLT0023156,Mechanical Issue,2026-03-31 22:00:00
CXL001136,FLT0023158,Mechanical Issue,2025-11-14 23:15:00
CXL001137,FLT0023166,Low Booking Demand,2025-07-30 19:15:00
CXL001138,FLT0023231,Crew Shortage,2026-05-21 01:30:00
CXL001139,FLT0023235,Mechanical Issue,2026-02-19 21:15:00
CXL001140,FLT0023240,Air Traffic Control,2025-09-19 17:30:00
CXL001141,FLT0023274,Air Traffic Control,2025-10-30 15:45:00
CXL001142,FLT0023281,Severe Weather,2026-05-09 06:30:00
CXL001143,FLT0023285,Airport Closure,2025-08-07 13:15:00
CXL001144,FLT0023296,Severe Weather,2025-11-03 17:15:00
CXL001145,FLT0023299,Air Traffic Control,2025-08-01 20:15:00
CXL001146,FLT0023328,Severe Weather,2025-09-06 12:45:00
CXL001147,FLT0023352,Mechanical Issue,2025-12-13 17:00:00
CXL001148,FLT0023369,Crew Shortage,2025-10-11 20:15:00
CXL001149,FLT0023374,Airport Closure,2026-07-27 22:00:00
CXL001150,FLT0023433,Airport Closure,2025-10-07 06:00:00
CXL001151,FLT0023478,Crew Shortage,2026-02-05 13:00:00
CXL001152,FLT0023481,Airport Closure,2026-04-02 22:15:00
CXL001153,FLT0023515,Mechanical Issue,2025-08-16 18:30:00
CXL001154,FLT0023532,Crew Shortage,2025-08-08 00:30:00
CXL001155,FLT0023542,Airport Closure,2026-04-06 19:00:00
CXL001156,FLT0023555,Mechanical Issue,2026-07-02 20:30:00
CXL001157,FLT0023606,Mechanical Issue,2026-01-08 04:30:00
CXL001158,FLT0023645,Low Booking Demand,2025-12-27 05:45:00
CXL001159,FLT0023651,Severe Weather,2026-06-26 04:30:00
CXL001160,FLT0023668,Mechanical Issue,2025-10-02 18:00:00
CXL001161,FLT0023678,Mechanical Issue,2025-08-08 18:15:00
CXL001162,FLT0023692,Crew Shortage,2026-02-10 02:00:00
CXL001163,FLT0023731,Airport Closure,2026-04-15 12:30:00
CXL001164,FLT0023743,Crew Shortage,2026-04-23 14:15:00
CXL001165,FLT0023754,Low Booking Demand,2026-07-29 10:45:00
CXL001166,FLT0023769,Low Booking Demand,2025-11-07 11:15:00
CXL001167,FLT0023808,Mechanical Issue,2025-11-25 15:15:00
CXL001168,FLT0023832,Crew Shortage,2025-11-01 12:15:00
CXL001169,FLT0023833,Mechanical Issue,2026-07-05 13:45:00
CXL001170,FLT0023877,Crew Shortage,2025-10-16 08:00:00
CXL001171,FLT0023898,Low Booking Demand,2025-11-13 09:00:00
CXL001172,FLT0023903,Air Traffic Control,2026-08-01 00:15:00
CXL001173,FLT0023961,Severe Weather,2026-06-05 10:30:00
CXL001174,FLT0023973,Mechanical Issue,2026-07-07 06:30:00
CXL001175,FLT0023975,Air Traffic Control,2025-08-01 10:15:00
CXL001176,FLT0023989,Mechanical Issue,2026-03-10 16:00:00
CXL001177,FLT0023999,Air Traffic Control,2026-02-18 21:00:00
CXL001178,FLT0024016,Mechanical Issue,2026-05-01 13:15:00
CXL001179,FLT0024052,Crew Shortage,2026-02-18 07:30:00
CXL001180,FLT0024060,Low Booking Demand,2026-07-13 03:00:00
CXL001181,FLT0024093,Severe Weather,2026-02-13 13:00:00
CXL001182,FLT0024102,Severe Weather,2025-09-04 06:45:00
CXL001183,FLT0024118,Air Traffic Control,2026-06-23 15:30:00
CXL001184,FLT0024139,Severe Weather,2026-07-29 08:45:00
CXL001185,FLT0024185,Severe Weather,2026-04-22 16:30:00
CXL001186,FLT0024197,Severe Weather,2025-11-26 05:15:00
CXL001187,FLT0024203,Severe Weather,2025-10-31 13:00:00
CXL001188,FLT0024238,Crew Shortage,2025-08-01 11:15:00
CXL001189,FLT0024259,Airport Closure,2026-03-24 19:15:00
CXL001190,FLT0024283,Severe Weather,2026-04-15 18:00:00
CXL001191,FLT0024290,Airport Closure,2026-01-20 12:45:00
CXL001192,FLT0024308,Crew Shortage,2025-11-18 20:30:00
CXL001193,FLT0024316,Mechanical Issue,2026-04-05 08:15:00
CXL001194,FLT0024324,Air Traffic Control,2026-03-04 01:30:00
CXL001195,FLT0024346,Low Booking Demand,2026-03-06 07:30:00
CXL001196,FLT0024373,Air Traffic Control,2026-02-02 12:45:00
CXL001197,FLT0024413,Mechanical Issue,2025-11-06 14:15:00
CXL001198,FLT0024438,Air Traffic Control,2025-10-06 03:30:00
CXL001199,FLT0024447,Airport Closure,2026-02-03 15:15:00
CXL001200,FLT0024470,Air Traffic Control,2025-08-27 01:30:00
CXL001201,FLT0024501,Air Traffic Control,2025-11-13 01:15:00
CXL001202,FLT0024606,Low Booking Demand,2026-03-02 05:15:00
CXL001203,FLT0024629,Mechanical Issue,2026-07-23 07:30:00
CXL001204,FLT0024652,Airport Closure,2026-02-17 02:15:00
CXL001205,FLT0024666,Low Booking Demand,2025-11-26 14:15:00
CXL001206,FLT0024670,Mechanical Issue,2026-05-31 00:30:00
CXL001207,FLT0024679,Airport Closure,2025-08-08 17:45:00
CXL001208,FLT0024681,Crew Shortage,2025-11-01 01:30:00
CXL001209,FLT0024697,Airport Closure,2026-04-08 16:30:00
CXL001210,FLT0024726,Severe Weather,2025-10-04 06:15:00
CXL001211,FLT0024747,Mechanical Issue,2026-05-18 15:15:00
CXL001212,FLT0024799,Severe Weather,2026-01-21 17:45:00
CXL001213,FLT0024803,Airport Closure,2025-10-04 14:30:00
CXL001214,FLT0024821,Crew Shortage,2026-07-04 06:15:00
CXL001215,FLT0024836,Severe Weather,2026-01-24 14:45:00
CXL001216,FLT0024837,Severe Weather,2026-02-08 16:30:00
CXL001217,FLT0024843,Severe Weather,2026-05-01 15:30:00
CXL001218,FLT0024871,Severe Weather,2026-05-13 19:15:00
CXL001219,FLT0024907,Mechanical Issue,2026-06-10 21:30:00
CXL001220,FLT0024921,Mechanical Issue,2026-04-18 03:00:00
CXL001221,FLT0024988,Airport Closure,2026-07-15 17:15:00
CXL001222,FLT0024992,Airport Closure,2025-10-06 15:45:00
CXL001223,FLT0025031,Mechanical Issue,2026-02-25 11:15:00
CXL001224,FLT0025033,Crew Shortage,2026-07-17 04:45:00
CXL001225,FLT0025057,Air Traffic Control,2026-01-24 13:00:00
CXL001226,FLT0025069,Low Booking Demand,2026-05-21 15:30:00
CXL001227,FLT0025126,Air Traffic Control,2026-04-06 21:00:00
CXL001228,FLT0025198,Air Traffic Control,2025-09-13 16:30:00
CXL001229,FLT0025227,Severe Weather,2025-08-10 13:45:00
CXL001230,FLT0025246,Severe Weather,2026-03-18 16:00:00
CXL001231,FLT0025250,Low Booking Demand,2025-08-27 23:00:00
CXL001232,FLT0025279,Airport Closure,2025-11-21 07:30:00
CXL001233,FLT0025287,Air Traffic Control,2026-03-28 23:45:00
CXL001234,FLT0025314,Air Traffic Control,2025-09-14 09:45:00
CXL001235,FLT0025339,Air Traffic Control,2026-07-02 17:00:00
CXL001236,FLT0025346,Air Traffic Control,2025-11-13 08:15:00
CXL001237,FLT0025376,Low Booking Demand,2026-05-22 12:00:00
CXL001238,FLT0025396,Mechanical Issue,2025-10-25 03:00:00
CXL001239,FLT0025401,Mechanical Issue,2026-03-07 04:15:00
CXL001240,FLT0025426,Low Booking Demand,2025-08-27 19:00:00
CXL001241,FLT0025427,Severe Weather,2026-04-11 18:15:00
CXL001242,FLT0025437,Severe Weather,2025-12-31 05:00:00
CXL001243,FLT0025471,Airport Closure,2026-04-05 22:30:00
CXL001244,FLT0025474,Airport Closure,2026-05-07 14:00:00
CXL001245,FLT0025509,Air Traffic Control,2026-03-13 22:00:00
CXL001246,FLT0025511,Air Traffic Control,2025-11-04 20:15:00
CXL001247,FLT0025520,Air Traffic Control,2026-01-23 20:45:00
CXL001248,FLT0025569,Air Traffic Control,2026-02-23 17:45:00
CXL001249,FLT0025588,Low Booking Demand,2025-12-29 14:30:00
CXL001250,FLT0025592,Severe Weather,2026-05-22 23:45:00
CXL001251,FLT0025595,Mechanical Issue,2026-06-14 08:45:00
CXL001252,FLT0025596,Severe Weather,2025-11-20 09:45:00
CXL001253,FLT0025617,Mechanical Issue,2026-01-22 05:30:00
CXL001254,FLT0025627,Severe Weather,2025-08-31 16:00:00
CXL001255,FLT0025650,Crew Shortage,2026-02-18 01:30:00
CXL001256,FLT0025668,Low Booking Demand,2026-05-13 09:00:00
CXL001257,FLT0025701,Severe Weather,2026-02-21 07:15:00
CXL001258,FLT0025720,Mechanical Issue,2026-01-13 06:30:00
CXL001259,FLT0025732,Crew Shortage,2025-11-19 06:00:00
CXL001260,FLT0025740,Severe Weather,2026-03-05 07:30:00
CXL001261,FLT0025747,Severe Weather,2026-05-11 10:00:00
CXL001262,FLT0025771,Air Traffic Control,2026-06-16 17:30:00
CXL001263,FLT0025772,Airport Closure,2026-07-09 17:15:00
CXL001264,FLT0025803,Severe Weather,2026-01-13 10:00:00
CXL001265,FLT0025837,Crew Shortage,2025-11-10 05:30:00
CXL001266,FLT0025842,Mechanical Issue,2026-03-11 11:00:00
CXL001267,FLT0025845,Crew Shortage,2026-02-15 15:15:00
CXL001268,FLT0025846,Low Booking Demand,2026-06-03 11:15:00
CXL001269,FLT0025855,Crew Shortage,2026-01-30 06:15:00
CXL001270,FLT0025880,Mechanical Issue,2026-02-19 19:15:00
CXL001271,FLT0025886,Low Booking Demand,2026-05-29 23:45:00
CXL001272,FLT0025889,Crew Shortage,2026-04-02 15:00:00
CXL001273,FLT0025933,Severe Weather,2026-02-08 22:30:00
CXL001274,FLT0025964,Severe Weather,2025-10-26 04:00:00
CXL001275,FLT0025979,Crew Shortage,2025-10-10 23:45:00
CXL001276,FLT0026016,Low Booking Demand,2026-04-24 05:15:00
CXL001277,FLT0026020,Air Traffic Control,2026-02-07 07:00:00
CXL001278,FLT0026065,Mechanical Issue,2025-12-05 13:30:00
CXL001279,FLT0026115,Crew Shortage,2026-05-14 03:00:00
CXL001280,FLT0026130,Low Booking Demand,2026-05-25 20:45:00
CXL001281,FLT0026137,Low Booking Demand,2026-07-03 13:45:00
CXL001282,FLT0026164,Mechanical Issue,2025-12-28 21:00:00
CXL001283,FLT0026169,Air Traffic Control,2026-02-21 08:30:00
CXL001284,FLT0026178,Severe Weather,2026-01-05 14:45:00
CXL001285,FLT0026185,Airport Closure,2025-09-28 17:30:00
CXL001286,FLT0026194,Airport Closure,2025-12-24 10:15:00
CXL001287,FLT0026200,Severe Weather,2025-10-01 04:30:00
CXL001288,FLT0026203,Airport Closure,2025-10-29 05:00:00
CXL001289,FLT0026247,Airport Closure,2025-09-25 12:00:00
CXL001290,FLT0026250,Air Traffic Control,2026-04-30 01:45:00
CXL001291,FLT0026294,Low Booking Demand,2026-04-30 19:00:00
CXL001292,FLT0026299,Air Traffic Control,2025-10-29 23:15:00
CXL001293,FLT0026343,Crew Shortage,2026-01-31 16:15:00
CXL001294,FLT0026349,Low Booking Demand,2025-09-28 19:30:00
CXL001295,FLT0026391,Crew Shortage,2025-09-02 04:30:00
CXL001296,FLT0026398,Airport Closure,2025-10-02 01:00:00
CXL001297,FLT0026443,Mechanical Issue,2026-05-25 05:15:00
CXL001298,FLT0026481,Low Booking Demand,2026-07-19 14:15:00
CXL001299,FLT0026507,Mechanical Issue,2026-01-25 18:30:00
CXL001300,FLT0026510,Airport Closure,2026-02-06 18:30:00
CXL001301,FLT0026513,Mechanical Issue,2025-08-07 03:30:00
CXL001302,FLT0026582,Severe Weather,2026-07-12 07:45:00
CXL001303,FLT0026609,Air Traffic Control,2026-01-16 01:15:00
CXL001304,FLT0026647,Air Traffic Control,2026-02-19 16:45:00
CXL001305,FLT0026682,Crew Shortage,2026-03-31 06:00:00
CXL001306,FLT0026705,Low Booking Demand,2025-09-13 23:45:00
CXL001307,FLT0026711,Mechanical Issue,2026-07-14 03:45:00
CXL001308,FLT0026749,Mechanical Issue,2025-08-08 23:45:00
CXL001309,FLT0026760,Crew Shortage,2026-01-20 11:30:00
CXL001310,FLT0026764,Low Booking Demand,2025-08-15 01:00:00
CXL001311,FLT0026783,Air Traffic Control,2026-03-17 12:00:00
CXL001312,FLT0026808,Crew Shortage,2025-08-09 17:45:00
CXL001313,FLT0026856,Low Booking Demand,2025-08-12 20:15:00
CXL001314,FLT0026900,Air Traffic Control,2026-06-01 22:00:00
CXL001315,FLT0026904,Crew Shortage,2026-01-06 01:00:00
CXL001316,FLT0026929,Crew Shortage,2026-04-04 17:15:00
CXL001317,FLT0026932,Crew Shortage,2026-01-07 20:45:00
CXL001318,FLT0027023,Mechanical Issue,2026-07-20 04:00:00
CXL001319,FLT0027054,Severe Weather,2025-10-16 01:45:00
CXL001320,FLT0027055,Airport Closure,2025-10-17 00:30:00
CXL001321,FLT0027068,Air Traffic Control,2026-05-21 10:15:00
CXL001322,FLT0027078,Crew Shortage,2026-02-21 04:30:00
CXL001323,FLT0027105,Airport Closure,2025-10-17 16:30:00
CXL001324,FLT0027137,Mechanical Issue,2026-07-12 02:30:00
CXL001325,FLT0027146,Low Booking Demand,2025-08-07 01:00:00
CXL001326,FLT0027198,Severe Weather,2026-07-14 04:45:00
CXL001327,FLT0027228,Airport Closure,2026-03-03 03:15:00
CXL001328,FLT0027240,Crew Shortage,2025-10-27 06:30:00
CXL001329,FLT0027279,Crew Shortage,2025-09-07 14:00:00
CXL001330,FLT0027318,Low Booking Demand,2025-08-08 15:00:00
CXL001331,FLT0027334,Mechanical Issue,2025-11-21 13:00:00
CXL001332,FLT0027353,Severe Weather,2026-01-15 01:45:00
CXL001333,FLT0027377,Mechanical Issue,2025-07-31 01:00:00
CXL001334,FLT0027408,Crew Shortage,2026-03-23 06:45:00
CXL001335,FLT0027409,Mechanical Issue,2026-06-09 04:00:00
CXL001336,FLT0027437,Mechanical Issue,2026-06-12 13:30:00
CXL001337,FLT0027443,Mechanical Issue,2026-03-26 10:15:00
CXL001338,FLT0027445,Severe Weather,2026-05-21 18:30:00
CXL001339,FLT0027476,Air Traffic Control,2025-08-31 15:15:00
CXL001340,FLT0027507,Low Booking Demand,2025-10-05 11:15:00
CXL001341,FLT0027523,Low Booking Demand,2026-07-01 16:00:00
CXL001342,FLT0027631,Low Booking Demand,2025-09-12 05:30:00
CXL001343,FLT0027679,Low Booking Demand,2026-07-17 06:15:00
CXL001344,FLT0027691,Crew Shortage,2026-01-21 22:30:00
CXL001345,FLT0027697,Severe Weather,2026-06-01 10:30:00
CXL001346,FLT0027722,Mechanical Issue,2026-06-11 01:30:00
CXL001347,FLT0027726,Air Traffic Control,2026-06-02 00:45:00
CXL001348,FLT0027742,Crew Shortage,2026-05-30 17:30:00
CXL001349,FLT0027769,Crew Shortage,2026-01-06 07:00:00
CXL001350,FLT0027771,Low Booking Demand,2026-02-23 22:30:00
CXL001351,FLT0027817,Mechanical Issue,2026-03-11 21:45:00
CXL001352,FLT0027826,Severe Weather,2025-10-04 01:30:00
CXL001353,FLT0027829,Mechanical Issue,2026-05-28 13:45:00
CXL001354,FLT0027873,Airport Closure,2026-04-04 14:30:00
CXL001355,FLT0027888,Airport Closure,2026-03-01 00:30:00
CXL001356,FLT0027900,Severe Weather,2025-11-08 12:00:00
CXL001357,FLT0027916,Air Traffic Control,2026-04-26 15:30:00
