ticket_id,customer_id,booking_id,issue_type,opened_date,status,priority
SUP004731,CUS0007032,BK00095352,Baggage Complaint,2025-10-11,Closed,Medium
SUP004732,CUS0022000,,Baggage Complaint,2024-01-11,Resolved,High
SUP004733,CUS0024482,BK00026879,Baggage Complaint,2026-08-02,In Progress,Low
SUP004734,CUS0001274,,Seat Change Request,2026-03-11,Open,Low
SUP004735,CUS0052835,BK00122633,Booking Issue,2026-07-24,Resolved,Low
SUP004736,CUS0000475,BK00132937,Website/App Issue,2025-12-06,Open,Low
SUP004737,CUS0028792,,Refund Request,2025-04-19,Closed,High
SUP004738,CUS0059621,BK00126455,Baggage Complaint,2024-10-05,Resolved,Medium
SUP004739,CUS0000263,BK00145803,Booking Issue,2025-04-26,Resolved,Medium
SUP004740,CUS0009243,,Flight Delay Complaint,2024-07-26,Closed,High
SUP004741,CUS0005012,BK00012140,Refund Request,2024-06-06,Resolved,Low
SUP004742,CUS0020768,,Loyalty Points Issue,2026-05-06,In Progress,Low
SUP004743,CUS0027588,,General Inquiry,2024-11-03,Resolved,Urgent
SUP004744,CUS0011799,,Loyalty Points Issue,2024-05-06,Resolved,Medium
SUP004745,CUS0045363,BK00049812,Flight Delay Complaint,2026-05-17,Resolved,Medium
SUP004746,CUS0012779,BK00033266,Loyalty Points Issue,2024-09-25,Closed,Medium
SUP004747,CUS0003566,,Booking Issue,2024-01-09,Closed,Low
SUP004748,CUS0035301,BK00016448,General Inquiry,2025-06-18,In Progress,Medium
SUP004749,CUS0004834,BK00016579,General Inquiry,2025-08-24,Closed,Low
SUP004750,CUS0001914,BK00016869,Seat Change Request,2026-07-26,Resolved,Low
SUP004751,CUS0009685,BK00144978,Seat Change Request,2024-02-17,Resolved,Medium
SUP004752,CUS0006791,BK00148627,Flight Delay Complaint,2025-10-20,Resolved,Urgent
SUP004753,CUS0050599,,Baggage Complaint,2024-01-16,Closed,High
SUP004754,CUS0044223,BK00084819,General Inquiry,2025-04-28,Open,Medium
SUP004755,CUS0024651,BK00069714,Website/App Issue,2025-05-12,Resolved,Low
SUP004756,CUS0020743,BK00042971,Website/App Issue,2025-09-14,In Progress,Low
SUP004757,CUS0055081,BK00059042,Flight Delay Complaint,2025-01-18,Open,High
SUP004758,CUS0054526,BK00035631,Booking Issue,2026-07-01,Closed,Medium
SUP004759,CUS0040350,BK00004301,Seat Change Request,2024-05-11,Open,Low
SUP004760,CUS0006226,,Flight Delay Complaint,2025-02-12,Resolved,Low
SUP004761,CUS0004577,BK00147752,Website/App Issue,2025-09-10,Resolved,Medium
SUP004762,CUS0011615,,Flight Delay Complaint,2025-02-08,Resolved,Medium
SUP004763,CUS0004661,BK00069857,Website/App Issue,2025-12-19,In Progress,Low
SUP004764,CUS0039487,BK00014600,General Inquiry,2025-02-08,Open,Medium
SUP004765,CUS0012405,BK00112404,Flight Delay Complaint,2024-12-24,In Progress,High
SUP004766,CUS0046935,BK00038209,General Inquiry,2026-07-07,Resolved,Low
SUP004767,CUS0022923,BK00076169,Loyalty Points Issue,2026-08-03,Resolved,Medium
SUP004768,CUS0003841,BK00005920,Flight Delay Complaint,2024-12-12,In Progress,Medium
SUP004769,CUS0030859,BK00063750,Refund Request,2024-01-27,Resolved,Low
SUP004770,CUS0009739,BK00098510,Seat Change Request,2026-02-07,In Progress,Medium
SUP004771,CUS0047767,BK00019798,Booking Issue,2024-12-07,Open,Medium
SUP004772,CUS0006107,,Booking Issue,2025-04-18,Closed,Low
SUP004773,CUS0025635,BK00003770,Seat Change Request,2025-10-27,Closed,Medium
SUP004774,CUS0049656,BK00063864,Booking Issue,2025-07-18,Resolved,Medium
SUP004775,CUS0059402,BK00103179,Flight Delay Complaint,2024-12-03,In Progress,Urgent
SUP004776,CUS0053326,BK00094074,Baggage Complaint,2025-04-19,Closed,High
SUP004777,CUS0059718,BK00079342,Loyalty Points Issue,2025-12-24,Resolved,Medium
SUP004778,CUS0051895,BK00032035,Booking Issue,2024-04-25,Resolved,Low
SUP004779,CUS0044914,BK00027690,Website/App Issue,2025-06-30,In Progress,Medium
SUP004780,CUS0034735,BK00056416,Refund Request,2024-10-08,In Progress,Low
SUP004781,CUS0057775,BK00120059,Flight Delay Complaint,2024-12-24,In Progress,Low
SUP004782,CUS0020050,BK00039972,Website/App Issue,2025-05-12,Resolved,High
SUP004783,CUS0008640,BK00123699,Website/App Issue,2026-05-16,Closed,Low
SUP004784,CUS0013897,BK00139790,Baggage Complaint,2026-07-05,Closed,Low
SUP004785,CUS0029834,BK00121722,Refund Request,2024-02-18,Open,Medium
SUP004786,CUS0022714,BK00088510,Flight Delay Complaint,2025-04-17,Closed,High
SUP004787,CUS0005293,BK00000209,Refund Request,2026-01-08,In Progress,Medium
SUP004788,CUS0055531,BK00063388,Baggage Complaint,2024-09-04,Closed,Urgent
SUP004789,CUS0025520,,Refund Request,2026-03-27,In Progress,Low
SUP004790,CUS0004266,BK00005641,Website/App Issue,2026-01-09,Resolved,Medium
SUP004791,CUS0031609,BK00141750,Baggage Complaint,2024-01-09,Resolved,Medium
SUP004792,CUS0030673,BK00144786,Loyalty Points Issue,2025-01-05,Closed,Low
SUP004793,CUS0034221,BK00049740,Baggage Complaint,2024-03-16,Closed,Low
SUP004794,CUS0030486,BK00095311,Seat Change Request,2025-04-01,Resolved,Low
SUP004795,CUS0029282,BK00024497,Website/App Issue,2025-06-22,Closed,Medium
SUP004796,CUS0036294,BK00100245,General Inquiry,2024-03-15,Closed,Medium
SUP004797,CUS0008201,,Seat Change Request,2026-02-27,Closed,Low
SUP004798,CUS0010267,BK00103883,Website/App Issue,2024-07-05,In Progress,Medium
SUP004799,CUS0024917,BK00115134,Baggage Complaint,2026-06-29,In Progress,High
SUP004800,CUS0002274,,Loyalty Points Issue,2026-04-09,Resolved,Low
SUP004801,CUS0006029,,Seat Change Request,2025-12-15,In Progress,Low
SUP004802,CUS0051814,BK00134547,Baggage Complaint,2025-07-17,Closed,Low
SUP004803,CUS0038361,BK00135940,Flight Delay Complaint,2025-09-09,Resolved,Medium
SUP004804,CUS0020035,BK00054947,Baggage Complaint,2025-10-27,Closed,Medium
SUP004805,CUS0057493,,Booking Issue,2025-01-26,Resolved,Medium
SUP004806,CUS0034931,BK00064018,Seat Change Request,2025-04-02,Closed,Medium
SUP004807,CUS0012291,BK00074577,Refund Request,2026-06-12,Resolved,Medium
SUP004808,CUS0021018,BK00123247,Flight Delay Complaint,2025-03-07,Closed,Low
SUP004809,CUS0034795,BK00012479,Flight Delay Complaint,2026-06-27,Resolved,Urgent
SUP004810,CUS0047735,BK00039973,Baggage Complaint,2025-01-12,Resolved,Medium
SUP004811,CUS0043064,,Loyalty Points Issue,2025-12-05,Closed,Medium
SUP004812,CUS0036855,BK00018154,Baggage Complaint,2026-01-09,Closed,Low
SUP004813,CUS0047829,BK00011941,Refund Request,2025-10-26,Closed,Low
SUP004814,CUS0048015,BK00010847,Booking Issue,2025-01-04,In Progress,Low
SUP004815,CUS0002170,,Website/App Issue,2026-04-03,Open,Medium
SUP004816,CUS0014184,BK00114106,Booking Issue,2026-07-02,Closed,Medium
SUP004817,CUS0057800,BK00025808,Refund Request,2024-03-30,Open,Medium
SUP004818,CUS0023855,BK00077213,Flight Delay Complaint,2026-02-06,Closed,Low
SUP004819,CUS0036661,,Seat Change Request,2026-07-08,Resolved,Low
SUP004820,CUS0011436,,Refund Request,2025-10-24,Resolved,Urgent
SUP004821,CUS0032447,BK00075476,Website/App Issue,2024-05-03,In Progress,Medium
SUP004822,CUS0013489,BK00011648,Loyalty Points Issue,2025-12-11,Resolved,Medium
SUP004823,CUS0035767,BK00013820,Seat Change Request,2025-05-30,Open,Medium
SUP004824,CUS0008450,BK00042090,Refund Request,2024-11-05,Resolved,Medium
SUP004825,CUS0041738,BK00105518,Booking Issue,2026-07-05,Closed,Medium
SUP004826,CUS0058996,BK00008381,Website/App Issue,2024-11-08,In Progress,Medium
SUP004827,CUS0051744,,Refund Request,2024-03-01,In Progress,Medium
SUP004828,CUS0002967,BK00011825,Booking Issue,2025-10-17,Closed,Low
SUP004829,CUS0032045,BK00043574,Baggage Complaint,2024-01-19,In Progress,Low
SUP004830,CUS0040511,,Website/App Issue,2026-04-05,Closed,High
SUP004831,CUS0049193,BK00120655,Seat Change Request,2025-04-19,Resolved,Medium
SUP004832,CUS0033852,,General Inquiry,2025-09-04,Open,Urgent
SUP004833,CUS0052004,,General Inquiry,2025-02-11,In Progress,Low
SUP004834,CUS0035183,BK00074239,Loyalty Points Issue,2024-08-21,Resolved,High
SUP004835,CUS0036878,BK00087810,Refund Request,2025-07-18,In Progress,High
SUP004836,CUS0014730,,General Inquiry,2025-10-24,In Progress,High
SUP004837,CUS0049134,BK00112448,Baggage Complaint,2024-05-15,Closed,Medium
SUP004838,CUS0020271,BK00000101,Refund Request,2025-10-18,In Progress,Urgent
SUP004839,CUS0045647,BK00128214,Baggage Complaint,2026-05-22,Resolved,Low
SUP004840,CUS0039912,BK00025870,Flight Delay Complaint,2025-07-04,Resolved,High
SUP004841,CUS0024359,BK00141751,Loyalty Points Issue,2024-01-04,Resolved,Urgent
SUP004842,CUS0038823,,Refund Request,2025-05-19,Closed,Medium
SUP004843,CUS0000261,,Website/App Issue,2024-07-06,In Progress,Medium
SUP004844,CUS0054673,,Seat Change Request,2025-09-19,Closed,Urgent
SUP004845,CUS0034911,,Baggage Complaint,2025-07-18,Open,Medium
SUP004846,CUS0019822,,Flight Delay Complaint,2026-04-27,Open,Low
SUP004847,CUS0001122,,Seat Change Request,2025-06-27,Resolved,High
SUP004848,CUS0029687,BK00040101,Baggage Complaint,2024-04-09,Closed,Low
SUP004849,CUS0035991,,Booking Issue,2025-12-24,Resolved,Medium
SUP004850,CUS0036853,,Website/App Issue,2026-07-11,Resolved,Urgent
SUP004851,CUS0014434,BK00051882,Website/App Issue,2024-03-22,Closed,Medium
SUP004852,CUS0055295,BK00042831,Flight Delay Complaint,2024-03-01,Closed,Medium
SUP004853,CUS0036353,BK00063339,General Inquiry,2024-07-18,Closed,Low
SUP004854,CUS0049978,BK00058453,Website/App Issue,2026-06-12,Resolved,Medium
SUP004855,CUS0011924,BK00121777,Loyalty Points Issue,2026-05-31,Resolved,Medium
SUP004856,CUS0050687,,Flight Delay Complaint,2024-08-10,Closed,Low
SUP004857,CUS0017370,BK00005690,Seat Change Request,2025-07-12,Resolved,Low
SUP004858,CUS0009996,,Refund Request,2024-07-05,Closed,Medium
SUP004859,CUS0022539,BK00005874,Baggage Complaint,2025-01-15,Closed,Urgent
SUP004860,CUS0020254,,General Inquiry,2024-01-07,Resolved,Low
SUP004861,CUS0052474,,General Inquiry,2026-07-11,Closed,Low
SUP004862,CUS0048092,BK00122928,Flight Delay Complaint,2024-12-10,Closed,Medium
SUP004863,CUS0026338,BK00104314,Seat Change Request,2024-11-26,Closed,High
SUP004864,CUS0015273,,Loyalty Points Issue,2025-07-08,In Progress,Medium
SUP004865,CUS0055446,BK00015118,Booking Issue,2025-01-24,Closed,High
SUP004866,CUS0020661,,Booking Issue,2025-01-04,Resolved,High
SUP004867,CUS0031235,,Booking Issue,2025-02-17,Resolved,Medium
SUP004868,CUS0052918,BK00135987,Refund Request,2024-05-22,Closed,High
SUP004869,CUS0040967,BK00116572,Flight Delay Complaint,2025-09-18,In Progress,Medium
SUP004870,CUS0027757,BK00093721,Refund Request,2024-04-20,Resolved,High
SUP004871,CUS0009978,BK00098596,Booking Issue,2026-01-16,In Progress,Medium
SUP004872,CUS0055299,BK00015072,Loyalty Points Issue,2024-02-10,Resolved,Low
SUP004873,CUS0027252,BK00128819,General Inquiry,2025-06-25,Resolved,Urgent
SUP004874,CUS0041702,,Website/App Issue,2025-09-19,Closed,Medium
SUP004875,CUS0058489,BK00073819,Baggage Complaint,2024-11-01,Open,Medium
SUP004876,CUS0048719,,Booking Issue,2024-08-19,In Progress,Medium
SUP004877,CUS0019133,BK00030615,Baggage Complaint,2025-03-07,Resolved,Medium
SUP004878,CUS0024019,,Seat Change Request,2026-03-12,Open,Medium
SUP004879,CUS0016060,,General Inquiry,2025-06-15,Closed,Medium
SUP004880,CUS0018762,,Website/App Issue,2024-12-10,In Progress,High
SUP004881,CUS0001457,BK00146483,Refund Request,2025-11-24,Resolved,Urgent
SUP004882,CUS0034763,BK00074851,General Inquiry,2025-08-17,Resolved,Low
SUP004883,CUS0027222,,Refund Request,2025-05-24,Resolved,High
SUP004884,CUS0018106,BK00105701,Baggage Complaint,2024-07-25,Resolved,High
SUP004885,CUS0051832,BK00002943,Baggage Complaint,2025-09-27,Resolved,Urgent
SUP004886,CUS0045337,,Baggage Complaint,2026-02-04,In Progress,Medium
SUP004887,CUS0030387,BK00032033,Baggage Complaint,2024-01-29,Resolved,Medium
SUP004888,CUS0032471,,Flight Delay Complaint,2024-12-12,Closed,Urgent
SUP004889,CUS0050273,,Booking Issue,2025-04-27,Resolved,Medium
SUP004890,CUS0031708,BK00087187,Refund Request,2024-12-12,In Progress,Medium
SUP004891,CUS0038449,,Refund Request,2024-08-19,Closed,Medium
SUP004892,CUS0009468,BK00008996,Booking Issue,2024-12-03,Resolved,Low
SUP004893,CUS0014267,BK00017923,Seat Change Request,2025-05-28,Resolved,Medium
SUP004894,CUS0037930,,Baggage Complaint,2026-06-21,Resolved,Low
SUP004895,CUS0019525,,Refund Request,2026-07-20,Closed,High
SUP004896,CUS0014447,,Refund Request,2025-01-31,Closed,Low
SUP004897,CUS0046814,BK00055436,Website/App Issue,2026-03-06,Closed,Medium
SUP004898,CUS0005288,,General Inquiry,2024-05-14,Resolved,Low
SUP004899,CUS0012478,,Website/App Issue,2025-06-24,Resolved,Low
SUP004900,CUS0025117,,Website/App Issue,2024-05-14,Open,High
SUP004901,CUS0030328,,Seat Change Request,2024-10-05,Closed,Medium
SUP004902,CUS0037425,BK00075630,Loyalty Points Issue,2024-12-13,Resolved,Low
SUP004903,CUS0031266,BK00119690,Website/App Issue,2026-07-13,Closed,Medium
SUP004904,CUS0050854,BK00096277,Flight Delay Complaint,2025-11-14,Resolved,High
SUP004905,CUS0054874,,Loyalty Points Issue,2026-01-29,Closed,Low
SUP004906,CUS0008422,BK00012213,Loyalty Points Issue,2025-09-28,Closed,Medium
SUP004907,CUS0014910,BK00076215,Refund Request,2025-05-16,Closed,Low
SUP004908,CUS0024103,BK00141843,General Inquiry,2024-02-11,Resolved,Low
SUP004909,CUS0017387,,Baggage Complaint,2025-04-25,Closed,Medium
SUP004910,CUS0044036,BK00031306,General Inquiry,2024-04-19,In Progress,High
SUP004911,CUS0059368,,Baggage Complaint,2025-08-20,Closed,Medium
SUP004912,CUS0004380,BK00091130,General Inquiry,2025-12-16,Resolved,High
SUP004913,CUS0013630,,Loyalty Points Issue,2024-09-16,Closed,Medium
SUP004914,CUS0011926,BK00039936,General Inquiry,2024-12-15,Resolved,Medium
SUP004915,CUS0000144,,Website/App Issue,2026-07-03,Closed,Medium
SUP004916,CUS0025799,BK00070888,Refund Request,2026-04-04,Resolved,High
SUP004917,CUS0032253,BK00026973,General Inquiry,2025-01-18,Closed,High
SUP004918,CUS0003474,,General Inquiry,2026-05-14,Resolved,Urgent
SUP004919,CUS0003181,,Website/App Issue,2024-10-24,Closed,Low
SUP004920,CUS0022423,,Seat Change Request,2025-05-04,Resolved,High
SUP004921,CUS0051491,BK00122794,Refund Request,2025-12-26,Resolved,Medium
SUP004922,CUS0021001,,Flight Delay Complaint,2025-05-18,Closed,Medium
SUP004923,CUS0038644,BK00011874,Seat Change Request,2026-02-07,Resolved,Medium
SUP004924,CUS0023409,BK00110410,Flight Delay Complaint,2024-01-20,Closed,Urgent
SUP004925,CUS0017136,,Seat Change Request,2025-01-09,Resolved,Medium
SUP004926,CUS0044317,,General Inquiry,2026-04-03,Closed,Medium
SUP004927,CUS0031597,BK00033720,Website/App Issue,2024-04-11,Resolved,High
SUP004928,CUS0043938,,Baggage Complaint,2025-01-22,In Progress,High
SUP004929,CUS0018935,BK00063237,Seat Change Request,2025-04-15,In Progress,Low
SUP004930,CUS0032774,,Refund Request,2025-07-31,In Progress,Low
SUP004931,CUS0011056,,Loyalty Points Issue,2026-01-25,Resolved,Low
SUP004932,CUS0016599,BK00145856,Website/App Issue,2024-04-02,Closed,Low
SUP004933,CUS0026589,BK00076939,Refund Request,2024-08-17,Closed,Medium
SUP004934,CUS0032402,BK00116966,Website/App Issue,2024-01-11,Resolved,Low
SUP004935,CUS0047873,BK00033612,Seat Change Request,2026-04-24,Resolved,Low
SUP004936,CUS0059799,,Booking Issue,2024-08-24,Resolved,Low
SUP004937,CUS0008706,BK00101768,Loyalty Points Issue,2024-01-08,Resolved,High
SUP004938,CUS0023293,BK00007426,Loyalty Points Issue,2024-04-06,Closed,Medium
SUP004939,CUS0048408,BK00139541,General Inquiry,2025-08-26,Closed,Medium
SUP004940,CUS0008034,,Seat Change Request,2025-03-19,Resolved,Medium
SUP004941,CUS0001860,BK00108876,Website/App Issue,2025-12-26,In Progress,High
SUP004942,CUS0012218,BK00020280,Loyalty Points Issue,2026-07-20,Closed,Low
SUP004943,CUS0042945,,Flight Delay Complaint,2024-03-28,Resolved,Medium
SUP004944,CUS0058359,BK00081717,Loyalty Points Issue,2025-09-29,Resolved,Low
SUP004945,CUS0004544,BK00035593,Booking Issue,2025-04-07,Resolved,Medium
SUP004946,CUS0010418,BK00013184,Booking Issue,2025-02-09,Open,High
SUP004947,CUS0009588,BK00053720,Refund Request,2024-09-14,In Progress,Medium
SUP004948,CUS0059414,BK00028910,General Inquiry,2025-02-17,Closed,High
SUP004949,CUS0023729,BK00093915,Refund Request,2024-12-24,Closed,Medium
SUP004950,CUS0036574,BK00069561,Flight Delay Complaint,2025-11-16,Closed,Medium
SUP004951,CUS0024811,BK00113374,Website/App Issue,2025-09-22,Resolved,High
SUP004952,CUS0054695,BK00037400,Seat Change Request,2026-03-08,Resolved,Low
SUP004953,CUS0011321,BK00006031,Seat Change Request,2024-03-27,Open,Low
SUP004954,CUS0000891,,Baggage Complaint,2025-07-22,Closed,Medium
SUP004955,CUS0024644,BK00037687,Baggage Complaint,2025-06-25,Open,Medium
SUP004956,CUS0005130,,Booking Issue,2026-03-06,Resolved,Medium
SUP004957,CUS0038226,BK00140549,Flight Delay Complaint,2025-11-20,Closed,Medium
SUP004958,CUS0044145,,Baggage Complaint,2025-04-03,Closed,Low
SUP004959,CUS0020522,BK00137266,Baggage Complaint,2024-07-20,Closed,High
SUP004960,CUS0026038,BK00125353,Loyalty Points Issue,2025-02-03,Closed,Low
SUP004961,CUS0013102,BK00067747,Loyalty Points Issue,2024-01-01,Closed,Low
SUP004962,CUS0030013,BK00024145,Loyalty Points Issue,2025-03-28,Closed,Low
SUP004963,CUS0032156,BK00107696,Baggage Complaint,2024-01-12,Resolved,Low
SUP004964,CUS0012972,,Booking Issue,2026-04-30,Closed,Medium
SUP004965,CUS0012306,BK00016033,Website/App Issue,2024-05-27,Resolved,Medium
SUP004966,CUS0041222,BK00103844,Baggage Complaint,2026-06-28,Resolved,Medium
SUP004967,CUS0034058,,Website/App Issue,2024-01-26,Resolved,Medium
SUP004968,CUS0027415,BK00025856,Baggage Complaint,2025-11-25,In Progress,Low
SUP004969,CUS0015428,,Website/App Issue,2026-06-21,In Progress,Medium
SUP004970,CUS0052499,BK00027092,Booking Issue,2026-02-01,Closed,High
SUP004971,CUS0049531,BK00080116,Seat Change Request,2024-08-09,Open,Urgent
SUP004972,CUS0017597,BK00023725,Seat Change Request,2024-12-01,Closed,Medium
SUP004973,CUS0021057,,General Inquiry,2024-07-14,In Progress,Medium
SUP004974,CUS0044102,BK00091046,General Inquiry,2025-01-11,Resolved,Low
SUP004975,CUS0005087,,General Inquiry,2024-08-03,Closed,High
SUP004976,CUS0001203,,Flight Delay Complaint,2024-02-06,Resolved,Medium
SUP004977,CUS0048524,BK00038431,Seat Change Request,2025-12-17,Open,Low
SUP004978,CUS0056657,BK00028115,Flight Delay Complaint,2025-10-17,Closed,Medium
SUP004979,CUS0041896,BK00007914,Baggage Complaint,2026-05-29,Open,Low
SUP004980,CUS0054404,,Website/App Issue,2024-11-08,Resolved,Medium
SUP004981,CUS0000291,BK00043498,Website/App Issue,2025-01-15,Closed,Low
SUP004982,CUS0036230,BK00033777,Booking Issue,2024-11-16,Closed,High
SUP004983,CUS0013234,BK00049800,Seat Change Request,2024-02-22,Resolved,High
SUP004984,CUS0000233,,Website/App Issue,2024-04-25,Resolved,High
SUP004985,CUS0022844,BK00038068,Loyalty Points Issue,2024-05-25,Closed,Low
SUP004986,CUS0002251,BK00064868,General Inquiry,2026-04-14,Closed,Medium
SUP004987,CUS0031184,BK00104209,General Inquiry,2024-11-01,In Progress,Medium
SUP004988,CUS0009090,BK00112156,General Inquiry,2025-05-25,Resolved,Medium
SUP004989,CUS0054038,BK00008765,Flight Delay Complaint,2024-07-30,Closed,Medium
SUP004990,CUS0015283,BK00133409,General Inquiry,2026-05-30,In Progress,Low
SUP004991,CUS0043039,,Website/App Issue,2025-01-26,Resolved,Medium
SUP004992,CUS0056605,,Refund Request,2025-12-06,Closed,Low
SUP004993,CUS0044894,,Booking Issue,2024-02-09,Closed,Low
SUP004994,CUS0041225,BK00093835,Website/App Issue,2024-10-15,Open,Medium
SUP004995,CUS0004486,BK00147868,Baggage Complaint,2026-01-01,Resolved,Low
SUP004996,CUS0015066,BK00025698,Refund Request,2024-09-20,Closed,Low
SUP004997,CUS0013295,BK00046895,Loyalty Points Issue,2024-01-17,Closed,Medium
SUP004998,CUS0002499,BK00129555,Refund Request,2024-09-05,Closed,Low
SUP004999,CUS0033532,BK00078548,General Inquiry,2025-01-01,Resolved,Medium
SUP005000,CUS0052948,,Refund Request,2026-02-02,Closed,Low
SUP005001,CUS0011616,BK00029547,Baggage Complaint,2025-08-22,Resolved,Medium
SUP005002,CUS0023691,BK00036841,Loyalty Points Issue,2026-06-12,In Progress,Medium
SUP005003,CUS0016946,BK00120304,Flight Delay Complaint,2025-09-01,In Progress,Low
SUP005004,CUS0058366,,Website/App Issue,2024-04-29,Closed,Medium
SUP005005,CUS0027002,BK00067821,Website/App Issue,2026-04-16,Open,Medium
SUP005006,CUS0032722,BK00007259,Refund Request,2025-12-11,Resolved,Medium
SUP005007,CUS0052995,BK00071872,Baggage Complaint,2026-06-16,Closed,High
SUP005008,CUS0038786,BK00020205,Baggage Complaint,2026-04-11,Resolved,Medium
SUP005009,CUS0037227,,General Inquiry,2026-05-13,Resolved,Low
SUP005010,CUS0047426,,Loyalty Points Issue,2024-01-18,Resolved,Low
SUP005011,CUS0025289,BK00063481,General Inquiry,2025-05-25,In Progress,Low
SUP005012,CUS0047338,BK00062238,Booking Issue,2024-07-16,Closed,Medium
SUP005013,CUS0022375,BK00058255,Seat Change Request,2024-04-25,In Progress,Low
SUP005014,CUS0009399,,General Inquiry,2025-05-06,Resolved,High
SUP005015,CUS0009458,BK00070051,Baggage Complaint,2025-04-15,Resolved,Medium
SUP005016,CUS0003192,BK00040149,Flight Delay Complaint,2025-01-06,Open,High
SUP005017,CUS0019941,BK00064259,Seat Change Request,2026-07-30,Closed,Medium
SUP005018,CUS0012742,,Refund Request,2025-12-04,Open,High
SUP005019,CUS0037868,BK00135985,Seat Change Request,2025-02-13,Closed,High
SUP005020,CUS0055996,BK00064977,Website/App Issue,2024-07-09,Open,Medium
SUP005021,CUS0050660,BK00112729,Seat Change Request,2025-10-26,In Progress,Medium
SUP005022,CUS0022434,BK00097732,Booking Issue,2026-05-24,Resolved,Medium
SUP005023,CUS0045536,BK00045683,Booking Issue,2024-02-20,In Progress,High
SUP005024,CUS0003545,BK00040222,Loyalty Points Issue,2025-12-19,Closed,Medium
SUP005025,CUS0018501,,Flight Delay Complaint,2024-12-12,Resolved,Low
SUP005026,CUS0053878,BK00096485,Loyalty Points Issue,2025-02-24,Closed,Low
SUP005027,CUS0015774,BK00096401,Refund Request,2025-09-04,Closed,Low
SUP005028,CUS0058991,BK00116028,Flight Delay Complaint,2026-01-04,Resolved,Low
SUP005029,CUS0051996,BK00094844,Website/App Issue,2024-11-10,Closed,High
SUP005030,CUS0006878,,Refund Request,2025-12-24,Closed,Low
SUP005031,CUS0040635,BK00099668,Website/App Issue,2024-08-02,Resolved,Medium
SUP005032,CUS0001809,BK00049872,Booking Issue,2026-02-05,Closed,Medium
SUP005033,CUS0057849,BK00036698,Refund Request,2024-11-24,Resolved,Medium
SUP005034,CUS0032012,BK00124813,Refund Request,2025-05-21,Closed,Low
SUP005035,CUS0045274,BK00026211,Refund Request,2025-09-17,Open,Low
SUP005036,CUS0022997,BK00065322,Loyalty Points Issue,2024-04-24,Resolved,Medium
SUP005037,CUS0019726,BK00036835,Website/App Issue,2024-05-17,Closed,Low
SUP005038,CUS0010257,,General Inquiry,2025-07-30,Resolved,Medium
SUP005039,CUS0041276,BK00136229,Flight Delay Complaint,2024-07-25,Closed,High
SUP005040,CUS0053518,BK00050753,Website/App Issue,2025-07-12,Closed,Medium
SUP005041,CUS0000820,BK00144033,Website/App Issue,2024-10-14,Open,Medium
SUP005042,CUS0003014,BK00143020,General Inquiry,2024-11-24,Open,Low
SUP005043,CUS0004043,BK00054551,General Inquiry,2025-03-24,Closed,High
SUP005044,CUS0030961,BK00106157,Flight Delay Complaint,2025-03-26,Closed,Urgent
SUP005045,CUS0011050,BK00130554,Baggage Complaint,2025-10-19,In Progress,Medium
SUP005046,CUS0022850,,General Inquiry,2024-01-08,Closed,Medium
SUP005047,CUS0029021,,Booking Issue,2025-11-01,Resolved,Medium
SUP005048,CUS0055749,BK00010510,Baggage Complaint,2025-12-28,Closed,Medium
SUP005049,CUS0042646,,Seat Change Request,2025-07-31,Resolved,Low
SUP005050,CUS0016853,,Refund Request,2025-10-21,Closed,High
SUP005051,CUS0011197,BK00145006,General Inquiry,2025-04-09,In Progress,Low
SUP005052,CUS0002050,BK00078178,Baggage Complaint,2024-01-03,Resolved,High
SUP005053,CUS0058695,BK00008238,Baggage Complaint,2025-04-11,In Progress,Medium
SUP005054,CUS0030308,BK00017991,Booking Issue,2025-02-25,Closed,Low
SUP005055,CUS0035589,BK00063471,Baggage Complaint,2026-01-31,Open,Medium
SUP005056,CUS0009896,BK00077608,Seat Change Request,2025-04-30,Closed,Urgent
SUP005057,CUS0011689,BK00092298,Flight Delay Complaint,2025-03-31,Resolved,Low
SUP005058,CUS0019566,BK00054296,General Inquiry,2024-01-15,In Progress,Medium
SUP005059,CUS0040143,BK00061204,Seat Change Request,2025-02-24,Closed,Low
SUP005060,CUS0021852,,General Inquiry,2026-05-05,Closed,Low
SUP005061,CUS0002050,BK00106484,Refund Request,2024-12-19,In Progress,Medium
SUP005062,CUS0005303,,General Inquiry,2025-03-15,Open,High
SUP005063,CUS0033987,BK00133688,Flight Delay Complaint,2024-07-12,Resolved,High
SUP005064,CUS0038508,BK00058923,Refund Request,2024-09-06,Closed,Urgent
SUP005065,CUS0000204,BK00033770,Baggage Complaint,2024-05-01,Resolved,Medium
SUP005066,CUS0036231,BK00028166,Booking Issue,2024-06-23,Closed,Medium
SUP005067,CUS0003113,,Refund Request,2025-02-16,Resolved,High
SUP005068,CUS0055001,BK00134480,Seat Change Request,2024-08-09,Closed,Low
SUP005069,CUS0021373,BK00072724,Refund Request,2025-03-14,Closed,Medium
SUP005070,CUS0004407,BK00010923,Refund Request,2026-01-08,Open,Low
SUP005071,CUS0021361,,Booking Issue,2024-01-09,In Progress,Low
SUP005072,CUS0006958,BK00146759,Loyalty Points Issue,2025-04-23,In Progress,High
SUP005073,CUS0022329,BK00054092,Baggage Complaint,2026-06-01,Closed,Medium
SUP005074,CUS0038602,BK00081504,Loyalty Points Issue,2024-07-25,Closed,Low
