delay_id,flight_id,delay_minutes,delay_reason
DLY001394,FLT0011192,192,Late Aircraft Arrival
DLY001395,FLT0011198,94,Airport Operations
DLY001396,FLT0011203,46,Weather
DLY001397,FLT0011207,234,Air Traffic Control
DLY001398,FLT0011226,182,Air Traffic Control
DLY001399,FLT0011230,188,Airport Operations
DLY001400,FLT0011251,232,Mechanical Issue
DLY001401,FLT0011255,31,Air Traffic Control
DLY001402,FLT0011258,105,Crew Availability
DLY001403,FLT0011266,195,Weather
DLY001404,FLT0011282,165,Weather
DLY001405,FLT0011296,231,Air Traffic Control
DLY001406,FLT0011301,228,Security
DLY001407,FLT0011307,228,Air Traffic Control
DLY001408,FLT0011316,202,Crew Availability
DLY001409,FLT0011322,43,Security
DLY001410,FLT0011327,110,Airport Operations
DLY001411,FLT0011336,167,Airport Operations
DLY001412,FLT0011341,132,Weather
DLY001413,FLT0011352,79,Security
DLY001414,FLT0011362,178,Air Traffic Control
DLY001415,FLT0011365,135,Late Aircraft Arrival
DLY001416,FLT0011371,110,Weather
DLY001417,FLT0011379,111,Late Aircraft Arrival
DLY001418,FLT0011388,193,Late Aircraft Arrival
DLY001419,FLT0011391,127,Security
DLY001420,FLT0011408,128,Weather
DLY001421,FLT0011411,224,Weather
DLY001422,FLT0011412,143,Mechanical Issue
DLY001423,FLT0011423,139,Airport Operations
DLY001424,FLT0011429,195,Mechanical Issue
DLY001425,FLT0011432,90,Mechanical Issue
DLY001426,FLT0011434,86,Airport Operations
DLY001427,FLT0011438,41,Crew Availability
DLY001428,FLT0011443,195,Airport Operations
DLY001429,FLT0011449,42,Security
DLY001430,FLT0011454,185,Weather
DLY001431,FLT0011462,20,Weather
DLY001432,FLT0011485,149,Crew Availability
DLY001433,FLT0011492,38,Security
DLY001434,FLT0011496,116,Air Traffic Control
DLY001435,FLT0011506,75,Late Aircraft Arrival
DLY001436,FLT0011520,15,Security
DLY001437,FLT0011531,136,Late Aircraft Arrival
DLY001438,FLT0011556,237,Weather
DLY001439,FLT0011558,62,Mechanical Issue
DLY001440,FLT0011559,148,Security
DLY001441,FLT0011563,175,Crew Availability
DLY001442,FLT0011564,72,Air Traffic Control
DLY001443,FLT0011571,26,Late Aircraft Arrival
DLY001444,FLT0011572,146,Weather
DLY001445,FLT0011577,19,Air Traffic Control
DLY001446,FLT0011582,145,Air Traffic Control
DLY001447,FLT0011584,156,Weather
DLY001448,FLT0011611,124,Security
DLY001449,FLT0011632,188,Crew Availability
DLY001450,FLT0011633,85,Air Traffic Control
DLY001451,FLT0011637,65,Security
DLY001452,FLT0011641,217,Airport Operations
DLY001453,FLT0011643,108,Security
DLY001454,FLT0011655,223,Weather
DLY001455,FLT0011658,203,Air Traffic Control
DLY001456,FLT0011683,79,Crew Availability
DLY001457,FLT0011694,220,Weather
DLY001458,FLT0011696,157,Airport Operations
DLY001459,FLT0011708,129,Air Traffic Control
DLY001460,FLT0011717,71,Airport Operations
DLY001461,FLT0011720,234,Airport Operations
DLY001462,FLT0011724,204,Crew Availability
DLY001463,FLT0011725,207,Mechanical Issue
DLY001464,FLT0011730,51,Weather
DLY001465,FLT0011733,54,Security
DLY001466,FLT0011749,175,Late Aircraft Arrival
DLY001467,FLT0011755,221,Late Aircraft Arrival
DLY001468,FLT0011758,159,Crew Availability
DLY001469,FLT0011767,142,Mechanical Issue
DLY001470,FLT0011781,217,Security
DLY001471,FLT0011798,126,Weather
DLY001472,FLT0011799,74,Air Traffic Control
DLY001473,FLT0011808,150,Airport Operations
DLY001474,FLT0011816,163,Weather
DLY001475,FLT0011832,219,Weather
DLY001476,FLT0011845,221,Crew Availability
DLY001477,FLT0011846,103,Air Traffic Control
DLY001478,FLT0011859,16,Mechanical Issue
DLY001479,FLT0011860,105,Late Aircraft Arrival
DLY001480,FLT0011861,204,Crew Availability
DLY001481,FLT0011864,130,Air Traffic Control
DLY001482,FLT0011866,46,Security
DLY001483,FLT0011869,152,Late Aircraft Arrival
DLY001484,FLT0011880,198,Weather
DLY001485,FLT0011884,215,Weather
DLY001486,FLT0011894,188,Late Aircraft Arrival
DLY001487,FLT0011900,61,Airport Operations
DLY001488,FLT0011902,173,Security
DLY001489,FLT0011914,143,Weather
DLY001490,FLT0011923,239,Late Aircraft Arrival
DLY001491,FLT0011927,95,Airport Operations
DLY001492,FLT0011930,44,Mechanical Issue
DLY001493,FLT0011938,26,Airport Operations
DLY001494,FLT0011939,132,Airport Operations
DLY001495,FLT0011946,120,Security
DLY001496,FLT0011949,64,Security
DLY001497,FLT0011954,130,Crew Availability
DLY001498,FLT0011955,55,Crew Availability
DLY001499,FLT0011969,28,Security
DLY001500,FLT0011974,72,Crew Availability
DLY001501,FLT0011993,130,Air Traffic Control
DLY001502,FLT0012000,16,Crew Availability
DLY001503,FLT0012009,163,Crew Availability
DLY001504,FLT0012011,40,Crew Availability
DLY001505,FLT0012013,37,Late Aircraft Arrival
DLY001506,FLT0012016,212,Air Traffic Control
DLY001507,FLT0012027,147,Late Aircraft Arrival
DLY001508,FLT0012033,177,Airport Operations
DLY001509,FLT0012036,88,Air Traffic Control
DLY001510,FLT0012057,144,Crew Availability
DLY001511,FLT0012058,120,Air Traffic Control
DLY001512,FLT0012062,112,Weather
DLY001513,FLT0012064,197,Security
DLY001514,FLT0012068,186,Airport Operations
DLY001515,FLT0012079,89,Security
DLY001516,FLT0012082,39,Airport Operations
DLY001517,FLT0012088,81,Mechanical Issue
DLY001518,FLT0012099,229,Crew Availability
DLY001519,FLT0012117,192,Weather
DLY001520,FLT0012140,45,Air Traffic Control
DLY001521,FLT0012144,212,Airport Operations
DLY001522,FLT0012146,187,Weather
DLY001523,FLT0012187,145,Air Traffic Control
DLY001524,FLT0012189,101,Crew Availability
DLY001525,FLT0012203,232,Late Aircraft Arrival
DLY001526,FLT0012206,99,Crew Availability
DLY001527,FLT0012220,81,Mechanical Issue
DLY001528,FLT0012221,48,Mechanical Issue
DLY001529,FLT0012231,17,Weather
DLY001530,FLT0012249,145,Crew Availability
DLY001531,FLT0012275,224,Air Traffic Control
DLY001532,FLT0012279,20,Air Traffic Control
DLY001533,FLT0012282,109,Airport Operations
DLY001534,FLT0012285,140,Air Traffic Control
DLY001535,FLT0012306,16,Security
DLY001536,FLT0012309,217,Weather
DLY001537,FLT0012323,50,Crew Availability
DLY001538,FLT0012326,158,Airport Operations
DLY001539,FLT0012353,174,Airport Operations
DLY001540,FLT0012373,80,Weather
DLY001541,FLT0012374,76,Weather
DLY001542,FLT0012382,109,Late Aircraft Arrival
DLY001543,FLT0012387,183,Mechanical Issue
DLY001544,FLT0012418,166,Security
DLY001545,FLT0012425,29,Late Aircraft Arrival
DLY001546,FLT0012434,196,Weather
DLY001547,FLT0012437,205,Weather
DLY001548,FLT0012445,69,Crew Availability
DLY001549,FLT0012454,46,Airport Operations
DLY001550,FLT0012459,110,Air Traffic Control
DLY001551,FLT0012466,75,Airport Operations
DLY001552,FLT0012469,217,Security
DLY001553,FLT0012470,230,Crew Availability
DLY001554,FLT0012479,57,Airport Operations
DLY001555,FLT0012480,200,Air Traffic Control
DLY001556,FLT0012493,180,Air Traffic Control
DLY001557,FLT0012495,126,Airport Operations
DLY001558,FLT0012518,70,Late Aircraft Arrival
DLY001559,FLT0012538,161,Airport Operations
DLY001560,FLT0012546,111,Air Traffic Control
DLY001561,FLT0012561,153,Weather
DLY001562,FLT0012562,16,Crew Availability
DLY001563,FLT0012563,115,Late Aircraft Arrival
DLY001564,FLT0012566,239,Air Traffic Control
DLY001565,FLT0012569,160,Crew Availability
DLY001566,FLT0012571,189,Security
DLY001567,FLT0012577,67,Late Aircraft Arrival
DLY001568,FLT0012583,106,Air Traffic Control
DLY001569,FLT0012597,146,Airport Operations
DLY001570,FLT0012606,237,Mechanical Issue
DLY001571,FLT0012623,59,Security
DLY001572,FLT0012641,223,Crew Availability
DLY001573,FLT0012651,237,Security
DLY001574,FLT0012658,126,Weather
DLY001575,FLT0012661,69,Weather
DLY001576,FLT0012673,175,Late Aircraft Arrival
DLY001577,FLT0012674,101,Air Traffic Control
DLY001578,FLT0012676,51,Weather
DLY001579,FLT0012689,220,Air Traffic Control
DLY001580,FLT0012697,133,Airport Operations
DLY001581,FLT0012703,218,Air Traffic Control
DLY001582,FLT0012710,175,Crew Availability
DLY001583,FLT0012726,227,Air Traffic Control
DLY001584,FLT0012739,195,Airport Operations
DLY001585,FLT0012761,93,Airport Operations
DLY001586,FLT0012776,16,Weather
DLY001587,FLT0012781,85,Security
DLY001588,FLT0012805,58,Airport Operations
DLY001589,FLT0012819,166,Air Traffic Control
DLY001590,FLT0012822,80,Mechanical Issue
DLY001591,FLT0012832,164,Air Traffic Control
DLY001592,FLT0012835,98,Mechanical Issue
DLY001593,FLT0012855,76,Air Traffic Control
DLY001594,FLT0012880,87,Mechanical Issue
DLY001595,FLT0012915,78,Air Traffic Control
DLY001596,FLT0012920,212,Security
DLY001597,FLT0012945,44,Security
DLY001598,FLT0012955,67,Air Traffic Control
DLY001599,FLT0012964,182,Security
DLY001600,FLT0012980,232,Crew Availability
DLY001601,FLT0012984,185,Weather
DLY001602,FLT0012986,54,Air Traffic Control
DLY001603,FLT0012993,97,Airport Operations
DLY001604,FLT0012998,185,Weather
DLY001605,FLT0013008,85,Airport Operations
DLY001606,FLT0013017,95,Late Aircraft Arrival
DLY001607,FLT0013022,114,Mechanical Issue
DLY001608,FLT0013024,106,Air Traffic Control
DLY001609,FLT0013037,166,Weather
DLY001610,FLT0013039,200,Crew Availability
DLY001611,FLT0013052,131,Security
DLY001612,FLT0013085,199,Mechanical Issue
DLY001613,FLT0013086,131,Weather
DLY001614,FLT0013092,24,Late Aircraft Arrival
DLY001615,FLT0013101,163,Security
DLY001616,FLT0013102,167,Airport Operations
DLY001617,FLT0013105,224,Crew Availability
DLY001618,FLT0013122,51,Airport Operations
DLY001619,FLT0013137,23,Airport Operations
DLY001620,FLT0013153,214,Airport Operations
DLY001621,FLT0013156,92,Weather
DLY001622,FLT0013157,166,Crew Availability
DLY001623,FLT0013175,144,Air Traffic Control
DLY001624,FLT0013187,70,Late Aircraft Arrival
DLY001625,FLT0013188,176,Security
DLY001626,FLT0013190,183,Mechanical Issue
DLY001627,FLT0013192,123,Airport Operations
DLY001628,FLT0013195,29,Security
DLY001629,FLT0013196,220,Mechanical Issue
DLY001630,FLT0013203,86,Late Aircraft Arrival
DLY001631,FLT0013216,156,Weather
DLY001632,FLT0013219,239,Air Traffic Control
DLY001633,FLT0013226,45,Security
DLY001634,FLT0013233,229,Crew Availability
DLY001635,FLT0013234,80,Crew Availability
DLY001636,FLT0013235,176,Mechanical Issue
DLY001637,FLT0013265,46,Crew Availability
DLY001638,FLT0013282,178,Mechanical Issue
DLY001639,FLT0013287,17,Air Traffic Control
DLY001640,FLT0013309,112,Crew Availability
DLY001641,FLT0013312,38,Security
DLY001642,FLT0013315,19,Crew Availability
DLY001643,FLT0013321,81,Mechanical Issue
DLY001644,FLT0013331,20,Weather
DLY001645,FLT0013335,207,Late Aircraft Arrival
DLY001646,FLT0013336,104,Airport Operations
DLY001647,FLT0013342,100,Airport Operations
DLY001648,FLT0013348,203,Airport Operations
DLY001649,FLT0013367,17,Weather
DLY001650,FLT0013373,124,Airport Operations
DLY001651,FLT0013375,177,Security
DLY001652,FLT0013388,188,Mechanical Issue
DLY001653,FLT0013400,50,Airport Operations
DLY001654,FLT0013404,139,Crew Availability
DLY001655,FLT0013425,138,Weather
DLY001656,FLT0013446,134,Crew Availability
DLY001657,FLT0013457,169,Airport Operations
DLY001658,FLT0013463,219,Mechanical Issue
DLY001659,FLT0013465,69,Airport Operations
DLY001660,FLT0013474,71,Security
DLY001661,FLT0013486,208,Air Traffic Control
DLY001662,FLT0013506,187,Air Traffic Control
DLY001663,FLT0013508,199,Security
DLY001664,FLT0013517,197,Crew Availability
DLY001665,FLT0013535,34,Security
DLY001666,FLT0013538,114,Air Traffic Control
DLY001667,FLT0013539,198,Mechanical Issue
DLY001668,FLT0013547,148,Late Aircraft Arrival
DLY001669,FLT0013548,18,Airport Operations
DLY001670,FLT0013549,134,Late Aircraft Arrival
DLY001671,FLT0013550,115,Security
DLY001672,FLT0013554,200,Crew Availability
DLY001673,FLT0013577,169,Late Aircraft Arrival
DLY001674,FLT0013579,88,Mechanical Issue
DLY001675,FLT0013586,184,Security
DLY001676,FLT0013587,171,Security
DLY001677,FLT0013591,67,Weather
DLY001678,FLT0013595,108,Air Traffic Control
DLY001679,FLT0013617,164,Mechanical Issue
DLY001680,FLT0013619,189,Mechanical Issue
DLY001681,FLT0013621,213,Security
DLY001682,FLT0013643,84,Security
DLY001683,FLT0013653,202,Mechanical Issue
DLY001684,FLT0013654,213,Mechanical Issue
DLY001685,FLT0013661,44,Air Traffic Control
DLY001686,FLT0013668,79,Air Traffic Control
DLY001687,FLT0013695,95,Air Traffic Control
DLY001688,FLT0013699,185,Security
DLY001689,FLT0013706,96,Crew Availability
DLY001690,FLT0013710,158,Weather
DLY001691,FLT0013716,132,Airport Operations
DLY001692,FLT0013719,80,Weather
DLY001693,FLT0013720,225,Security
DLY001694,FLT0013742,97,Security
DLY001695,FLT0013751,129,Airport Operations
DLY001696,FLT0013760,123,Air Traffic Control
DLY001697,FLT0013782,229,Security
DLY001698,FLT0013799,185,Weather
DLY001699,FLT0013809,50,Security
DLY001700,FLT0013811,233,Airport Operations
DLY001701,FLT0013814,134,Airport Operations
DLY001702,FLT0013821,217,Airport Operations
DLY001703,FLT0013823,174,Air Traffic Control
DLY001704,FLT0013830,93,Late Aircraft Arrival
DLY001705,FLT0013837,18,Crew Availability
DLY001706,FLT0013875,102,Late Aircraft Arrival
DLY001707,FLT0013885,89,Mechanical Issue
DLY001708,FLT0013917,29,Late Aircraft Arrival
DLY001709,FLT0013948,64,Mechanical Issue
DLY001710,FLT0013949,143,Security
DLY001711,FLT0013959,24,Crew Availability
DLY001712,FLT0013968,211,Late Aircraft Arrival
DLY001713,FLT0013986,83,Security
DLY001714,FLT0013996,40,Crew Availability
DLY001715,FLT0013997,106,Airport Operations
DLY001716,FLT0014008,15,Security
DLY001717,FLT0014011,179,Air Traffic Control
DLY001718,FLT0014039,181,Late Aircraft Arrival
DLY001719,FLT0014040,226,Mechanical Issue
DLY001720,FLT0014047,181,Air Traffic Control
DLY001721,FLT0014049,198,Air Traffic Control
DLY001722,FLT0014060,223,Security
DLY001723,FLT0014063,125,Crew Availability
DLY001724,FLT0014083,168,Air Traffic Control
DLY001725,FLT0014089,23,Airport Operations
DLY001726,FLT0014090,39,Weather
DLY001727,FLT0014092,155,Late Aircraft Arrival
DLY001728,FLT0014109,234,Late Aircraft Arrival
DLY001729,FLT0014125,84,Airport Operations
DLY001730,FLT0014131,158,Airport Operations
DLY001731,FLT0014142,92,Crew Availability
DLY001732,FLT0014151,83,Airport Operations
DLY001733,FLT0014157,132,Air Traffic Control
DLY001734,FLT0014165,50,Crew Availability
DLY001735,FLT0014182,92,Weather
DLY001736,FLT0014186,114,Crew Availability
DLY001737,FLT0014187,215,Late Aircraft Arrival
DLY001738,FLT0014197,231,Weather
DLY001739,FLT0014198,220,Weather
DLY001740,FLT0014219,117,Security
DLY001741,FLT0014222,162,Airport Operations
DLY001742,FLT0014239,99,Airport Operations
DLY001743,FLT0014242,143,Airport Operations
DLY001744,FLT0014249,94,Crew Availability
DLY001745,FLT0014256,41,Crew Availability
DLY001746,FLT0014262,46,Crew Availability
DLY001747,FLT0014264,235,Airport Operations
DLY001748,FLT0014269,40,Crew Availability
DLY001749,FLT0014275,69,Crew Availability
DLY001750,FLT0014279,212,Weather
DLY001751,FLT0014290,211,Mechanical Issue
DLY001752,FLT0014305,150,Crew Availability
DLY001753,FLT0014313,227,Security
DLY001754,FLT0014316,97,Mechanical Issue
DLY001755,FLT0014322,226,Late Aircraft Arrival
DLY001756,FLT0014323,82,Weather
DLY001757,FLT0014327,44,Weather
DLY001758,FLT0014333,74,Security
DLY001759,FLT0014344,239,Airport Operations
DLY001760,FLT0014345,148,Late Aircraft Arrival
DLY001761,FLT0014351,177,Weather
DLY001762,FLT0014362,184,Crew Availability
DLY001763,FLT0014368,197,Security
DLY001764,FLT0014374,223,Late Aircraft Arrival
DLY001765,FLT0014378,137,Security
DLY001766,FLT0014381,192,Security
DLY001767,FLT0014382,104,Air Traffic Control
DLY001768,FLT0014383,46,Airport Operations
DLY001769,FLT0014389,169,Crew Availability
DLY001770,FLT0014390,122,Weather
DLY001771,FLT0014391,212,Airport Operations
DLY001772,FLT0014394,97,Airport Operations
DLY001773,FLT0014399,126,Air Traffic Control
DLY001774,FLT0014401,16,Security
DLY001775,FLT0014403,82,Air Traffic Control
DLY001776,FLT0014437,171,Air Traffic Control
DLY001777,FLT0014443,165,Security
DLY001778,FLT0014448,108,Mechanical Issue
DLY001779,FLT0014455,146,Crew Availability
DLY001780,FLT0014468,19,Mechanical Issue
DLY001781,FLT0014481,127,Weather
DLY001782,FLT0014497,31,Airport Operations
DLY001783,FLT0014507,73,Air Traffic Control
DLY001784,FLT0014508,46,Crew Availability
DLY001785,FLT0014510,116,Security
DLY001786,FLT0014512,65,Weather
DLY001787,FLT0014529,156,Weather
DLY001788,FLT0014530,119,Airport Operations
DLY001789,FLT0014533,78,Airport Operations
DLY001790,FLT0014534,119,Security
DLY001791,FLT0014540,170,Late Aircraft Arrival
DLY001792,FLT0014549,110,Mechanical Issue
DLY001793,FLT0014550,113,Air Traffic Control
DLY001794,FLT0014551,154,Weather
DLY001795,FLT0014556,204,Crew Availability
DLY001796,FLT0014563,65,Security
DLY001797,FLT0014578,236,Air Traffic Control
DLY001798,FLT0014584,60,Weather
DLY001799,FLT0014612,116,Late Aircraft Arrival
DLY001800,FLT0014615,55,Weather
DLY001801,FLT0014623,94,Mechanical Issue
DLY001802,FLT0014632,64,Weather
DLY001803,FLT0014649,212,Airport Operations
DLY001804,FLT0014654,210,Security
DLY001805,FLT0014667,114,Crew Availability
DLY001806,FLT0014673,153,Security
DLY001807,FLT0014682,149,Weather
DLY001808,FLT0014683,110,Crew Availability
DLY001809,FLT0014688,226,Weather
DLY001810,FLT0014702,193,Crew Availability
DLY001811,FLT0014715,117,Security
DLY001812,FLT0014718,204,Late Aircraft Arrival
DLY001813,FLT0014719,174,Airport Operations
DLY001814,FLT0014733,194,Mechanical Issue
DLY001815,FLT0014775,117,Security
DLY001816,FLT0014778,178,Late Aircraft Arrival
DLY001817,FLT0014780,175,Air Traffic Control
DLY001818,FLT0014800,165,Late Aircraft Arrival
DLY001819,FLT0014801,43,Crew Availability
DLY001820,FLT0014807,193,Weather
DLY001821,FLT0014822,71,Late Aircraft Arrival
DLY001822,FLT0014825,97,Crew Availability
DLY001823,FLT0014830,162,Late Aircraft Arrival
DLY001824,FLT0014834,121,Air Traffic Control
DLY001825,FLT0014835,176,Weather
DLY001826,FLT0014845,88,Crew Availability
DLY001827,FLT0014862,142,Mechanical Issue
DLY001828,FLT0014868,164,Late Aircraft Arrival
DLY001829,FLT0014872,152,Crew Availability
DLY001830,FLT0014875,223,Weather
DLY001831,FLT0014877,218,Mechanical Issue
DLY001832,FLT0014879,205,Air Traffic Control
DLY001833,FLT0014894,157,Late Aircraft Arrival
DLY001834,FLT0014898,150,Mechanical Issue
DLY001835,FLT0014907,45,Weather
DLY001836,FLT0014913,103,Mechanical Issue
DLY001837,FLT0014924,50,Late Aircraft Arrival
DLY001838,FLT0014932,111,Weather
DLY001839,FLT0014936,46,Airport Operations
DLY001840,FLT0014953,32,Security
DLY001841,FLT0014962,100,Security
DLY001842,FLT0014966,75,Late Aircraft Arrival
DLY001843,FLT0014971,44,Late Aircraft Arrival
DLY001844,FLT0014976,154,Late Aircraft Arrival
DLY001845,FLT0014977,220,Airport Operations
DLY001846,FLT0014979,205,Security
DLY001847,FLT0014993,213,Late Aircraft Arrival
DLY001848,FLT0014998,31,Security
DLY001849,FLT0015000,127,Late Aircraft Arrival
DLY001850,FLT0015006,45,Crew Availability
DLY001851,FLT0015027,201,Weather
DLY001852,FLT0015040,177,Security
DLY001853,FLT0015041,21,Crew Availability
DLY001854,FLT0015049,161,Security
DLY001855,FLT0015054,234,Airport Operations
DLY001856,FLT0015065,62,Airport Operations
DLY001857,FLT0015088,129,Crew Availability
DLY001858,FLT0015089,235,Mechanical Issue
DLY001859,FLT0015093,81,Mechanical Issue
DLY001860,FLT0015098,81,Mechanical Issue
DLY001861,FLT0015099,116,Weather
DLY001862,FLT0015113,210,Airport Operations
DLY001863,FLT0015123,181,Weather
DLY001864,FLT0015127,161,Weather
DLY001865,FLT0015138,182,Crew Availability
DLY001866,FLT0015139,125,Airport Operations
DLY001867,FLT0015145,49,Security
DLY001868,FLT0015146,59,Late Aircraft Arrival
DLY001869,FLT0015165,55,Air Traffic Control
DLY001870,FLT0015167,52,Airport Operations
DLY001871,FLT0015174,76,Weather
DLY001872,FLT0015175,92,Crew Availability
DLY001873,FLT0015176,222,Air Traffic Control
DLY001874,FLT0015212,210,Air Traffic Control
DLY001875,FLT0015220,150,Crew Availability
DLY001876,FLT0015221,67,Air Traffic Control
DLY001877,FLT0015225,203,Airport Operations
DLY001878,FLT0015232,61,Crew Availability
DLY001879,FLT0015239,119,Weather
DLY001880,FLT0015243,127,Mechanical Issue
DLY001881,FLT0015254,108,Mechanical Issue
DLY001882,FLT0015270,231,Crew Availability
DLY001883,FLT0015294,48,Crew Availability
DLY001884,FLT0015304,110,Crew Availability
DLY001885,FLT0015305,23,Security
DLY001886,FLT0015309,66,Airport Operations
DLY001887,FLT0015340,181,Security
DLY001888,FLT0015341,224,Air Traffic Control
DLY001889,FLT0015342,160,Weather
DLY001890,FLT0015348,45,Airport Operations
DLY001891,FLT0015351,157,Weather
DLY001892,FLT0015362,173,Airport Operations
DLY001893,FLT0015370,23,Crew Availability
DLY001894,FLT0015383,183,Crew Availability
DLY001895,FLT0015388,28,Weather
DLY001896,FLT0015389,136,Late Aircraft Arrival
DLY001897,FLT0015402,17,Security
DLY001898,FLT0015405,70,Airport Operations
DLY001899,FLT0015412,26,Mechanical Issue
DLY001900,FLT0015423,227,Crew Availability
DLY001901,FLT0015424,159,Airport Operations
DLY001902,FLT0015432,120,Mechanical Issue
DLY001903,FLT0015440,221,Weather
DLY001904,FLT0015442,188,Weather
DLY001905,FLT0015443,228,Crew Availability
DLY001906,FLT0015453,93,Crew Availability
DLY001907,FLT0015455,43,Crew Availability
DLY001908,FLT0015465,47,Weather
DLY001909,FLT0015472,84,Mechanical Issue
DLY001910,FLT0015495,51,Late Aircraft Arrival
DLY001911,FLT0015515,43,Air Traffic Control
DLY001912,FLT0015518,173,Crew Availability
DLY001913,FLT0015520,48,Crew Availability
DLY001914,FLT0015530,57,Late Aircraft Arrival
DLY001915,FLT0015533,153,Crew Availability
DLY001916,FLT0015535,233,Air Traffic Control
DLY001917,FLT0015545,133,Weather
DLY001918,FLT0015558,184,Mechanical Issue
DLY001919,FLT0015561,173,Air Traffic Control
DLY001920,FLT0015564,190,Late Aircraft Arrival
DLY001921,FLT0015572,159,Security
DLY001922,FLT0015573,104,Airport Operations
DLY001923,FLT0015586,238,Crew Availability
DLY001924,FLT0015625,201,Late Aircraft Arrival
DLY001925,FLT0015632,225,Air Traffic Control
DLY001926,FLT0015636,143,Air Traffic Control
DLY001927,FLT0015637,24,Weather
DLY001928,FLT0015646,235,Late Aircraft Arrival
DLY001929,FLT0015653,16,Mechanical Issue
DLY001930,FLT0015654,121,Late Aircraft Arrival
DLY001931,FLT0015655,69,Late Aircraft Arrival
DLY001932,FLT0015660,107,Air Traffic Control
DLY001933,FLT0015661,168,Airport Operations
DLY001934,FLT0015664,34,Late Aircraft Arrival
DLY001935,FLT0015667,101,Mechanical Issue
DLY001936,FLT0015687,127,Mechanical Issue
DLY001937,FLT0015688,15,Weather
DLY001938,FLT0015692,191,Airport Operations
DLY001939,FLT0015699,228,Weather
DLY001940,FLT0015701,152,Air Traffic Control
DLY001941,FLT0015702,114,Late Aircraft Arrival
DLY001942,FLT0015708,115,Air Traffic Control
DLY001943,FLT0015709,146,Air Traffic Control
DLY001944,FLT0015732,134,Late Aircraft Arrival
DLY001945,FLT0015742,43,Crew Availability
DLY001946,FLT0015751,237,Late Aircraft Arrival
DLY001947,FLT0015757,66,Air Traffic Control
DLY001948,FLT0015764,233,Airport Operations
DLY001949,FLT0015807,238,Late Aircraft Arrival
DLY001950,FLT0015810,144,Weather
DLY001951,FLT0015815,94,Weather
DLY001952,FLT0015837,101,Crew Availability
DLY001953,FLT0015846,75,Crew Availability
DLY001954,FLT0015857,177,Airport Operations
DLY001955,FLT0015862,172,Mechanical Issue
DLY001956,FLT0015865,41,Weather
DLY001957,FLT0015884,203,Crew Availability
DLY001958,FLT0015895,70,Security
DLY001959,FLT0015897,118,Security
DLY001960,FLT0015906,133,Air Traffic Control
DLY001961,FLT0015920,208,Late Aircraft Arrival
DLY001962,FLT0015937,133,Weather
DLY001963,FLT0015943,149,Security
DLY001964,FLT0015956,102,Security
DLY001965,FLT0015972,68,Crew Availability
DLY001966,FLT0015978,153,Crew Availability
DLY001967,FLT0015984,29,Air Traffic Control
DLY001968,FLT0015987,125,Air Traffic Control
DLY001969,FLT0015995,202,Airport Operations
DLY001970,FLT0015998,21,Weather
DLY001971,FLT0016033,178,Mechanical Issue
DLY001972,FLT0016049,125,Crew Availability
DLY001973,FLT0016053,164,Weather
DLY001974,FLT0016063,210,Late Aircraft Arrival
DLY001975,FLT0016066,16,Security
DLY001976,FLT0016088,41,Late Aircraft Arrival
DLY001977,FLT0016098,224,Mechanical Issue
DLY001978,FLT0016103,72,Security
DLY001979,FLT0016104,51,Crew Availability
DLY001980,FLT0016106,91,Late Aircraft Arrival
DLY001981,FLT0016109,187,Crew Availability
DLY001982,FLT0016124,160,Crew Availability
DLY001983,FLT0016131,25,Airport Operations
DLY001984,FLT0016135,25,Air Traffic Control
DLY001985,FLT0016136,107,Airport Operations
DLY001986,FLT0016150,90,Security
DLY001987,FLT0016159,22,Late Aircraft Arrival
DLY001988,FLT0016188,43,Weather
DLY001989,FLT0016198,54,Air Traffic Control
DLY001990,FLT0016199,54,Late Aircraft Arrival
DLY001991,FLT0016212,82,Security
DLY001992,FLT0016218,44,Air Traffic Control
DLY001993,FLT0016222,102,Weather
DLY001994,FLT0016232,35,Security
DLY001995,FLT0016235,229,Security
DLY001996,FLT0016239,58,Late Aircraft Arrival
DLY001997,FLT0016246,118,Weather
DLY001998,FLT0016247,134,Mechanical Issue
DLY001999,FLT0016256,86,Late Aircraft Arrival
DLY002000,FLT0016261,141,Mechanical Issue
DLY002001,FLT0016266,90,Weather
DLY002002,FLT0016285,57,Air Traffic Control
DLY002003,FLT0016288,145,Late Aircraft Arrival
DLY002004,FLT0016297,111,Air Traffic Control
DLY002005,FLT0016314,166,Late Aircraft Arrival
DLY002006,FLT0016315,131,Security
DLY002007,FLT0016321,89,Airport Operations
DLY002008,FLT0016323,75,Crew Availability
DLY002009,FLT0016327,116,Mechanical Issue
DLY002010,FLT0016337,154,Mechanical Issue
DLY002011,FLT0016347,198,Airport Operations
DLY002012,FLT0016369,63,Mechanical Issue
DLY002013,FLT0016373,70,Late Aircraft Arrival
DLY002014,FLT0016421,140,Air Traffic Control
DLY002015,FLT0016424,104,Late Aircraft Arrival
DLY002016,FLT0016438,232,Crew Availability
DLY002017,FLT0016468,151,Air Traffic Control
DLY002018,FLT0016478,74,Crew Availability
DLY002019,FLT0016485,115,Air Traffic Control
DLY002020,FLT0016493,226,Late Aircraft Arrival
DLY002021,FLT0016498,232,Crew Availability
DLY002022,FLT0016501,218,Crew Availability
DLY002023,FLT0016503,214,Late Aircraft Arrival
DLY002024,FLT0016506,142,Airport Operations
