aircraft_id,tail_number,model_id,airline_id,manufacture_year,status
ACFT00478,N5873K,AM0020,AL0014,2003,Active
ACFT00479,N8051X,AM0023,AL0014,1999,Retired
ACFT00480,N0032M,AM0011,AL0019,2023,Retired
ACFT00481,N2355Y,AM0012,AL0003,2010,Retired
ACFT00482,N4561S,AM0016,AL0006,2007,In Maintenance
ACFT00483,N8313G,AM0005,AL0020,2018,In Maintenance
ACFT00484,N5851H,AM0022,AL0012,1999,Active
ACFT00485,N6356H,AM0020,AL0005,2013,Active
ACFT00486,N6313L,AM0016,AL0006,2011,Active
ACFT00487,N0850W,AM0008,AL0007,2013,Retired
ACFT00488,N8013N,AM0009,AL0012,2001,Active
ACFT00489,N7460R,AM0011,AL0006,2024,Active
ACFT00490,N9542Y,AM0017,AL0013,2004,Active
ACFT00491,N0218M,AM0020,AL0009,2016,Active
ACFT00492,N9655E,AM0017,AL0013,2018,Active
ACFT00493,N5695Y,AM0024,AL0004,2007,In Maintenance
ACFT00494,N9541G,AM0025,AL0013,2001,Retired
ACFT00495,N8136F,AM0018,AL0019,2006,In Maintenance
ACFT00496,N9602T,AM0010,AL0003,2020,In Maintenance
ACFT00497,N8980T,AM0015,AL0007,2023,Active
ACFT00498,N1064R,AM0011,AL0014,2024,Active
ACFT00499,N8058L,AM0016,AL0013,2004,Active
ACFT00500,N5490X,AM0021,AL0014,2014,Active
ACFT00501,N8845J,AM0010,AL0012,2002,Active
ACFT00502,N2857C,AM0013,AL0014,2017,In Maintenance
ACFT00503,N7691N,AM0002,AL0013,2009,Active
ACFT00504,N5504H,AM0019,AL0002,2017,Retired
ACFT00505,N6246B,AM0013,AL0016,2017,Active
ACFT00506,N7700W,AM0012,AL0009,2025,Retired
ACFT00507,N2843G,AM0014,AL0002,2011,Active
ACFT00508,N6143D,AM0006,AL0009,2007,Active
ACFT00509,N3560W,AM0015,AL0009,2012,In Maintenance
ACFT00510,N8694V,AM0019,AL0002,2002,Retired
ACFT00511,N7515X,AM0009,AL0020,2001,Active
ACFT00512,N9427B,AM0004,AL0005,2012,Active
ACFT00513,N1593L,AM0010,AL0007,2021,Active
ACFT00514,N3405Q,AM0005,AL0009,2012,Active
ACFT00515,N3271B,AM0010,AL0017,2019,Retired
ACFT00516,N0831X,AM0016,AL0015,2002,Retired
ACFT00517,N1306S,AM0003,AL0016,2010,Active
ACFT00518,N7239V,AM0019,AL0005,2015,Active
ACFT00519,N0685R,AM0006,AL0017,2007,Active
ACFT00520,N0001Z,AM0023,AL0017,1998,Active
ACFT00521,N6729E,AM0019,AL0010,2000,Active
ACFT00522,N9000V,AM0007,AL0011,2023,Active
ACFT00523,N2447J,AM0015,AL0001,2014,Active
ACFT00524,N0327U,AM0003,AL0016,2005,Active
ACFT00525,N0706K,AM0003,AL0020,2005,Retired
ACFT00526,N3437Z,AM0024,AL0010,1999,Active
ACFT00527,N8454V,AM0021,AL0011,2024,Active
ACFT00528,N5443P,AM0004,AL0010,2001,In Maintenance
ACFT00529,N6488L,AM0008,AL0002,2019,In Maintenance
ACFT00530,N9192P,AM0005,AL0013,2004,Active
ACFT00531,N2437B,AM0010,AL0015,2007,Active
ACFT00532,N8955S,AM0008,AL0019,2005,Active
ACFT00533,N1726H,AM0009,AL0019,2021,Retired
ACFT00534,N7726M,AM0014,AL0010,1998,Retired
ACFT00535,N2590Y,AM0005,AL0020,2007,Active
ACFT00536,N8563D,AM0023,AL0011,2005,Active
ACFT00537,N5827T,AM0019,AL0013,2005,Active
ACFT00538,N7334W,AM0020,AL0013,2003,Retired
ACFT00539,N9495K,AM0005,AL0020,2023,Active
ACFT00540,N0669T,AM0018,AL0015,2008,Active
ACFT00541,N0574L,AM0021,AL0003,2009,Active
ACFT00542,N8664G,AM0005,AL0002,2008,Active
ACFT00543,N5967C,AM0019,AL0009,2025,Active
ACFT00544,N9294Y,AM0009,AL0011,2007,Active
ACFT00545,N8796W,AM0020,AL0014,2007,In Maintenance
ACFT00546,N1058U,AM0012,AL0010,2007,Retired
ACFT00547,N5568W,AM0021,AL0011,2007,Active
ACFT00548,N1537N,AM0004,AL0019,2000,Active
ACFT00549,N9461Y,AM0010,AL0007,2014,Active
ACFT00550,N1389M,AM0007,AL0010,1998,Retired
ACFT00551,N4090A,AM0007,AL0012,2004,In Maintenance
ACFT00552,N4016S,AM0008,AL0010,2003,Active
ACFT00553,N2762T,AM0010,AL0020,2006,In Maintenance
ACFT00554,N5812H,AM0004,AL0020,2019,Active
ACFT00555,N3875N,AM0018,AL0011,2014,Active
ACFT00556,N8421H,AM0014,AL0010,2025,Active
ACFT00557,N6444Z,AM0021,AL0012,2007,In Maintenance
ACFT00558,N9112W,AM0018,AL0004,2023,Active
ACFT00559,N4865G,AM0004,AL0009,1999,In Maintenance
ACFT00560,N3152H,AM0002,AL0005,2012,Active
ACFT00561,N0794N,AM0011,AL0003,2020,Active
ACFT00562,N9564N,AM0013,AL0002,2012,Active
ACFT00563,N5765B,AM0007,AL0012,2024,Active
ACFT00564,N9812Z,AM0020,AL0001,2006,Active
ACFT00565,N3878A,AM0015,AL0013,1998,Active
ACFT00566,N4582H,AM0019,AL0009,2019,In Maintenance
ACFT00567,N1791F,AM0003,AL0008,1999,Active
ACFT00568,N3842H,AM0021,AL0016,2019,Active
ACFT00569,N5318L,AM0006,AL0011,2018,In Maintenance
ACFT00570,N2771B,AM0012,AL0015,2021,Active
ACFT00571,N0767R,AM0011,AL0015,2011,Active
ACFT00572,N4573X,AM0021,AL0001,2023,Active
ACFT00573,N8893C,AM0007,AL0005,2002,Retired
ACFT00574,N4773H,AM0007,AL0012,2010,Active
ACFT00575,N4803F,AM0009,AL0020,2001,Retired
ACFT00576,N8402B,AM0010,AL0004,2019,Active
ACFT00577,N4958T,AM0005,AL0003,2017,Active
ACFT00578,N8392L,AM0005,AL0019,2020,In Maintenance
ACFT00579,N6221A,AM0006,AL0020,2019,Retired
ACFT00580,N5924Y,AM0012,AL0004,2006,Active
ACFT00581,N7051F,AM0009,AL0009,1999,Active
ACFT00582,N2612F,AM0010,AL0013,2024,Retired
ACFT00583,N3633N,AM0018,AL0004,2011,Active
ACFT00584,N6089Q,AM0007,AL0007,2000,Active
ACFT00585,N5643J,AM0023,AL0008,2023,In Maintenance
ACFT00586,N1832Z,AM0019,AL0013,2025,Active
ACFT00587,N5622T,AM0005,AL0007,2010,Retired
ACFT00588,N4184S,AM0008,AL0009,2019,Retired
ACFT00589,N3578E,AM0005,AL0006,1999,Retired
ACFT00590,N6961E,AM0007,AL0016,2000,Active
ACFT00591,N2179N,AM0010,AL0004,2005,Active
ACFT00592,N5744Q,AM0004,AL0005,2016,Active
ACFT00593,N3058B,AM0001,AL0005,2001,Active
ACFT00594,N2285N,AM0011,AL0019,1998,Retired
ACFT00595,N6270C,AM0018,AL0019,2016,In Maintenance
ACFT00596,N8614B,AM0008,AL0011,2019,Retired
ACFT00597,N6723F,AM0022,AL0004,2018,In Maintenance
ACFT00598,N3224W,AM0010,AL0016,2020,In Maintenance
ACFT00599,N7292X,AM0023,AL0010,2020,Active
ACFT00600,N3527H,AM0006,AL0017,2014,Active
