seat_assignment_id,flight_id,aircraft_id,seat_number,passenger_id,class
SA00032730,FLT0064962,ACFT00337,27B,PAX00038954,Economy
SA00032731,FLT0038756,ACFT00365,34J,PAX00038955,Economy
SA00032732,FLT0054342,ACFT00349,7J,PAX00038956,Economy
SA00032733,FLT0054342,ACFT00349,40C,PAX00038957,Business
SA00032734,FLT0054342,ACFT00349,18K,PAX00038958,Economy
SA00032735,FLT0008452,ACFT00261,26H,PAX00038959,Premium Economy
SA00032736,FLT0008452,ACFT00261,39C,PAX00038960,Premium Economy
SA00032737,FLT0073742,ACFT00288,14H,PAX00038961,Economy
SA00032738,FLT0033657,ACFT00080,23B,PAX00038962,Economy
SA00032739,FLT0033657,ACFT00080,36J,PAX00038963,Economy
SA00032740,FLT0018921,ACFT00374,43E,PAX00038964,Premium Economy
SA00032741,FLT0072476,ACFT00083,18E,PAX00038965,Business
SA00032742,FLT0072476,ACFT00083,37E,PAX00038966,Premium Economy
SA00032743,FLT0072476,ACFT00083,42K,PAX00038967,Economy
SA00032744,FLT0057817,ACFT00064,34E,PAX00038968,Business
SA00032745,FLT0057817,ACFT00064,40B,PAX00038969,Premium Economy
SA00032746,FLT0057817,ACFT00064,19J,PAX00038970,Business
SA00032747,FLT0057817,ACFT00064,36D,PAX00038971,Business
SA00032748,FLT0002463,ACFT00037,21C,PAX00038972,Economy
SA00032749,FLT0002463,ACFT00037,17C,PAX00038973,Economy
SA00032750,FLT0002463,ACFT00037,21B,PAX00038974,Economy
SA00032751,FLT0068381,ACFT00194,24D,PAX00038976,Premium Economy
SA00032752,FLT0068381,ACFT00194,19H,PAX00038977,Premium Economy
SA00032753,FLT0068381,ACFT00194,32G,PAX00038978,Business
SA00032754,FLT0045593,ACFT00583,4K,PAX00038982,Economy
SA00032755,FLT0066786,ACFT00051,12A,PAX00038984,Economy
SA00032756,FLT0066786,ACFT00051,22B,PAX00038985,Economy
SA00032757,FLT0066786,ACFT00051,24H,PAX00038986,Premium Economy
SA00032758,FLT0022621,ACFT00421,36K,PAX00038988,Economy
SA00032759,FLT0054947,ACFT00559,5K,PAX00038989,Economy
SA00032760,FLT0054947,ACFT00559,16G,PAX00038990,Economy
SA00032761,FLT0054947,ACFT00559,40H,PAX00038991,Economy
SA00032762,FLT0050703,ACFT00520,38B,PAX00038992,Premium Economy
SA00032763,FLT0053735,ACFT00081,10G,PAX00038993,Economy
SA00032764,FLT0052362,ACFT00332,2F,PAX00038994,Business
SA00032765,FLT0052362,ACFT00332,18F,PAX00038995,Premium Economy
SA00032766,FLT0018063,ACFT00021,35G,PAX00038998,Economy
SA00032767,FLT0040740,ACFT00021,5F,PAX00038999,Economy
SA00032768,FLT0034308,ACFT00592,5G,PAX00039000,Economy
SA00032769,FLT0034308,ACFT00592,30A,PAX00039001,Economy
SA00032770,FLT0034308,ACFT00592,29C,PAX00039002,Economy
SA00032771,FLT0066513,ACFT00233,12C,PAX00039006,Economy
SA00032772,FLT0066513,ACFT00233,1G,PAX00039007,Economy
SA00032773,FLT0063862,ACFT00133,27K,PAX00039008,Economy
SA00032774,FLT0063862,ACFT00133,24B,PAX00039009,Economy
SA00032775,FLT0049647,ACFT00443,11D,PAX00039010,Business
SA00032776,FLT0049647,ACFT00443,36E,PAX00039011,Economy
SA00032777,FLT0055807,ACFT00044,5E,PAX00039012,Economy
SA00032778,FLT0055807,ACFT00044,1J,PAX00039013,Business
SA00032779,FLT0079146,ACFT00403,13C,PAX00039014,Premium Economy
SA00032780,FLT0079146,ACFT00403,15E,PAX00039016,Economy
SA00032781,FLT0057708,ACFT00534,26G,PAX00039017,Economy
SA00032782,FLT0013302,ACFT00428,39A,PAX00039018,Business
SA00032783,FLT0013302,ACFT00428,43E,PAX00039019,Economy
SA00032784,FLT0013302,ACFT00428,33H,PAX00039020,Business
SA00032785,FLT0014036,ACFT00080,39D,PAX00039021,Economy
SA00032786,FLT0014036,ACFT00080,16B,PAX00039022,Economy
SA00032787,FLT0070565,ACFT00585,15F,PAX00039024,Economy
SA00032788,FLT0069847,ACFT00227,1B,PAX00039025,Economy
SA00032789,FLT0051915,ACFT00258,11G,PAX00039026,Economy
SA00032790,FLT0051915,ACFT00258,1D,PAX00039027,Economy
SA00032791,FLT0051915,ACFT00258,43J,PAX00039028,Economy
SA00032792,FLT0040387,ACFT00049,28C,PAX00039029,Business
SA00032793,FLT0040387,ACFT00049,21F,PAX00039030,Economy
SA00032794,FLT0049551,ACFT00227,16C,PAX00039032,Premium Economy
SA00032795,FLT0049551,ACFT00227,12G,PAX00039033,Economy
SA00032796,FLT0049551,ACFT00227,17B,PAX00039034,Economy
SA00032797,FLT0049551,ACFT00227,29A,PAX00039035,Economy
SA00032798,FLT0055200,ACFT00287,37K,PAX00039036,Business
SA00032799,FLT0055200,ACFT00287,12C,PAX00039037,Premium Economy
SA00032800,FLT0049305,ACFT00316,5H,PAX00039038,Economy
SA00032801,FLT0049305,ACFT00316,20A,PAX00039039,Premium Economy
SA00032802,FLT0029547,ACFT00395,15D,PAX00039040,First
SA00032803,FLT0029547,ACFT00395,19A,PAX00039041,Economy
SA00032804,FLT0063380,ACFT00394,40J,PAX00039042,Business
SA00032805,FLT0063380,ACFT00394,35B,PAX00039043,Economy
SA00032806,FLT0063380,ACFT00394,38G,PAX00039044,Economy
SA00032807,FLT0011627,ACFT00483,7G,PAX00039045,Economy
SA00032808,FLT0011627,ACFT00483,16H,PAX00039046,Economy
SA00032809,FLT0011627,ACFT00483,17C,PAX00039047,Economy
SA00032810,FLT0074797,ACFT00370,20E,PAX00039048,Economy
SA00032811,FLT0005210,ACFT00131,21A,PAX00039049,Economy
SA00032812,FLT0005210,ACFT00131,41E,PAX00039050,Business
SA00032813,FLT0021388,ACFT00262,31B,PAX00039051,Economy
SA00032814,FLT0079414,ACFT00109,14E,PAX00039052,Economy
SA00032815,FLT0079414,ACFT00109,30E,PAX00039053,Premium Economy
SA00032816,FLT0079414,ACFT00109,34F,PAX00039054,Economy
SA00032817,FLT0075640,ACFT00498,17H,PAX00039056,Economy
SA00032818,FLT0013379,ACFT00416,28G,PAX00039057,Economy
SA00032819,FLT0053976,ACFT00120,43G,PAX00039058,Premium Economy
SA00032820,FLT0053976,ACFT00120,30J,PAX00039059,Economy
SA00032821,FLT0053976,ACFT00120,36B,PAX00039060,Economy
SA00032822,FLT0076688,ACFT00052,15J,PAX00039061,Premium Economy
SA00032823,FLT0007973,ACFT00511,17E,PAX00039062,Economy
SA00032824,FLT0027501,ACFT00232,36J,PAX00039063,Premium Economy
SA00032825,FLT0027501,ACFT00232,44C,PAX00039064,Economy
SA00032826,FLT0075638,ACFT00218,3J,PAX00039069,Business
SA00032827,FLT0022735,ACFT00144,24F,PAX00039071,Economy
SA00032828,FLT0022735,ACFT00144,17H,PAX00039072,Economy
SA00032829,FLT0020669,ACFT00359,28A,PAX00039074,Economy
SA00032830,FLT0020669,ACFT00359,23C,PAX00039075,Economy
SA00032831,FLT0007330,ACFT00265,24B,PAX00039076,Economy
SA00032832,FLT0007330,ACFT00265,11K,PAX00039077,Economy
SA00032833,FLT0007330,ACFT00265,36A,PAX00039078,Business
SA00032834,FLT0007330,ACFT00265,23D,PAX00039079,First
SA00032835,FLT0074054,ACFT00112,20E,PAX00039080,Economy
SA00032836,FLT0056287,ACFT00379,36G,PAX00039081,Economy
SA00032837,FLT0049845,ACFT00302,27A,PAX00039082,Economy
SA00032838,FLT0070682,ACFT00120,27F,PAX00039083,Economy
SA00032839,FLT0023699,ACFT00005,18D,PAX00039084,Economy
SA00032840,FLT0023699,ACFT00005,32B,PAX00039085,Economy
SA00032841,FLT0023699,ACFT00005,25G,PAX00039086,Economy
SA00032842,FLT0023699,ACFT00005,14F,PAX00039087,Business
SA00032843,FLT0031152,ACFT00575,16B,PAX00039091,Premium Economy
SA00032844,FLT0031152,ACFT00575,26J,PAX00039092,Economy
SA00032845,FLT0001992,ACFT00187,9K,PAX00039093,Economy
SA00032846,FLT0024990,ACFT00503,19A,PAX00039094,Economy
SA00032847,FLT0024990,ACFT00503,37H,PAX00039095,Economy
SA00032848,FLT0046697,ACFT00508,13H,PAX00039096,Premium Economy
SA00032849,FLT0046697,ACFT00508,35K,PAX00039097,Economy
SA00032850,FLT0046697,ACFT00508,29A,PAX00039098,Economy
SA00032851,FLT0002954,ACFT00516,44K,PAX00039099,Premium Economy
SA00032852,FLT0002954,ACFT00516,26F,PAX00039100,Economy
SA00032853,FLT0002954,ACFT00516,19D,PAX00039101,Economy
SA00032854,FLT0053205,ACFT00572,3E,PAX00039103,Economy
SA00032855,FLT0053205,ACFT00572,43J,PAX00039104,Economy
SA00032856,FLT0053205,ACFT00572,18K,PAX00039105,Premium Economy
SA00032857,FLT0002024,ACFT00130,43D,PAX00039106,Economy
SA00032858,FLT0077204,ACFT00239,41C,PAX00039112,First
SA00032859,FLT0064994,ACFT00261,38D,PAX00039113,Economy
SA00032860,FLT0064994,ACFT00261,14D,PAX00039114,Economy
SA00032861,FLT0023599,ACFT00007,2E,PAX00039115,Economy
SA00032862,FLT0023599,ACFT00007,39H,PAX00039116,Economy
SA00032863,FLT0061448,ACFT00270,1J,PAX00039117,Economy
SA00032864,FLT0061448,ACFT00270,7K,PAX00039118,Economy
SA00032865,FLT0061448,ACFT00270,5D,PAX00039119,Economy
SA00032866,FLT0061448,ACFT00270,34C,PAX00039120,Economy
SA00032867,FLT0003121,ACFT00096,27J,PAX00039121,Economy
SA00032868,FLT0003121,ACFT00096,10J,PAX00039122,Business
SA00032869,FLT0003121,ACFT00096,21G,PAX00039124,Economy
SA00032870,FLT0013234,ACFT00129,43C,PAX00039125,Economy
SA00032871,FLT0023800,ACFT00080,21F,PAX00039126,Economy
SA00032872,FLT0023800,ACFT00080,33K,PAX00039127,Economy
SA00032873,FLT0023800,ACFT00080,39F,PAX00039128,First
SA00032874,FLT0069951,ACFT00192,4J,PAX00039129,Economy
SA00032875,FLT0027067,ACFT00033,32A,PAX00039130,Economy
SA00032876,FLT0027067,ACFT00033,10G,PAX00039131,Economy
SA00032877,FLT0061230,ACFT00495,33E,PAX00039133,Economy
SA00032878,FLT0061230,ACFT00495,39B,PAX00039134,Economy
SA00032879,FLT0050470,ACFT00154,26J,PAX00039135,First
SA00032880,FLT0050470,ACFT00154,41G,PAX00039136,Economy
SA00032881,FLT0002187,ACFT00174,11B,PAX00039137,Economy
SA00032882,FLT0002187,ACFT00174,20D,PAX00039138,Economy
SA00032883,FLT0002187,ACFT00174,4H,PAX00039139,Business
SA00032884,FLT0050383,ACFT00512,42A,PAX00039140,Economy
SA00032885,FLT0050383,ACFT00512,36H,PAX00039141,Business
SA00032886,FLT0050383,ACFT00512,40F,PAX00039142,Economy
SA00032887,FLT0017134,ACFT00290,43J,PAX00039143,Economy
SA00032888,FLT0025367,ACFT00536,7C,PAX00039148,Economy
SA00032889,FLT0025367,ACFT00536,1C,PAX00039149,Economy
SA00032890,FLT0074346,ACFT00221,10H,PAX00039150,Economy
SA00032891,FLT0074346,ACFT00221,36D,PAX00039151,Premium Economy
SA00032892,FLT0058344,ACFT00383,33D,PAX00039152,Economy
SA00032893,FLT0064969,ACFT00185,29B,PAX00039153,Business
SA00032894,FLT0064969,ACFT00185,6F,PAX00039154,Economy
SA00032895,FLT0012007,ACFT00491,25E,PAX00039155,Business
SA00032896,FLT0012007,ACFT00491,2A,PAX00039156,Economy
SA00032897,FLT0049718,ACFT00241,16E,PAX00039157,Economy
SA00032898,FLT0049718,ACFT00241,12J,PAX00039158,Premium Economy
SA00032899,FLT0021632,ACFT00365,20J,PAX00039159,Premium Economy
SA00032900,FLT0021632,ACFT00365,35B,PAX00039160,Economy
SA00032901,FLT0021632,ACFT00365,11E,PAX00039161,Economy
SA00032902,FLT0054076,ACFT00108,26B,PAX00039162,Economy
SA00032903,FLT0054076,ACFT00108,41B,PAX00039163,Economy
SA00032904,FLT0023876,ACFT00455,12D,PAX00039167,Economy
SA00032905,FLT0062758,ACFT00242,19J,PAX00039168,Economy
SA00032906,FLT0004530,ACFT00355,2H,PAX00039169,Economy
SA00032907,FLT0004530,ACFT00355,2E,PAX00039170,Premium Economy
SA00032908,FLT0018344,ACFT00138,10E,PAX00039171,Economy
SA00032909,FLT0007139,ACFT00085,26A,PAX00039174,Business
SA00032910,FLT0041135,ACFT00287,6G,PAX00039175,Economy
SA00032911,FLT0009640,ACFT00487,17K,PAX00039177,Economy
SA00032912,FLT0009640,ACFT00487,2A,PAX00039178,Economy
SA00032913,FLT0049552,ACFT00153,40B,PAX00039179,Economy
SA00032914,FLT0043331,ACFT00279,19C,PAX00039180,Economy
SA00032915,FLT0002037,ACFT00397,2B,PAX00039181,Economy
SA00032916,FLT0079492,ACFT00176,28H,PAX00039184,First
SA00032917,FLT0079492,ACFT00176,25B,PAX00039185,Economy
SA00032918,FLT0041357,ACFT00483,2C,PAX00039186,Premium Economy
SA00032919,FLT0059209,ACFT00216,15F,PAX00039191,Premium Economy
SA00032920,FLT0034956,ACFT00571,31K,PAX00039192,Premium Economy
SA00032921,FLT0034956,ACFT00571,1K,PAX00039193,Economy
SA00032922,FLT0034956,ACFT00571,24K,PAX00039194,Economy
SA00032923,FLT0056058,ACFT00589,23B,PAX00039195,Economy
SA00032924,FLT0056058,ACFT00589,7D,PAX00039196,Business
SA00032925,FLT0062456,ACFT00214,5J,PAX00039197,Business
SA00032926,FLT0062456,ACFT00214,10E,PAX00039198,Economy
SA00032927,FLT0062456,ACFT00214,28E,PAX00039199,Economy
SA00032928,FLT0062456,ACFT00214,32D,PAX00039200,Business
SA00032929,FLT0032942,ACFT00085,24C,PAX00039201,Economy
SA00032930,FLT0005262,ACFT00299,40G,PAX00039202,Premium Economy
SA00032931,FLT0005262,ACFT00299,39F,PAX00039203,Business
SA00032932,FLT0056141,ACFT00053,41B,PAX00039204,Economy
SA00032933,FLT0056141,ACFT00053,14H,PAX00039205,Economy
SA00032934,FLT0028991,ACFT00111,11E,PAX00039206,Economy
SA00032935,FLT0028991,ACFT00111,44A,PAX00039207,Premium Economy
SA00032936,FLT0011434,ACFT00158,44E,PAX00039209,Economy
SA00032937,FLT0009159,ACFT00154,25J,PAX00039210,Economy
SA00032938,FLT0028229,ACFT00446,6K,PAX00039213,Economy
SA00032939,FLT0028229,ACFT00446,11C,PAX00039214,Economy
SA00032940,FLT0003589,ACFT00439,15G,PAX00039216,Economy
SA00032941,FLT0003589,ACFT00439,18K,PAX00039217,Business
SA00032942,FLT0061076,ACFT00048,23D,PAX00039218,Business
SA00032943,FLT0048176,ACFT00379,5J,PAX00039219,Economy
SA00032944,FLT0048176,ACFT00379,10D,PAX00039220,Economy
SA00032945,FLT0079918,ACFT00376,35H,PAX00039221,Economy
SA00032946,FLT0079918,ACFT00376,42G,PAX00039222,Economy
SA00032947,FLT0046925,ACFT00259,38C,PAX00039223,Economy
SA00032948,FLT0054788,ACFT00159,20K,PAX00039224,Economy
SA00032949,FLT0079503,ACFT00307,5F,PAX00039225,Economy
SA00032950,FLT0066770,ACFT00297,20K,PAX00039227,Premium Economy
SA00032951,FLT0012524,ACFT00240,38A,PAX00039228,Economy
SA00032952,FLT0012524,ACFT00240,9F,PAX00039229,Economy
SA00032953,FLT0012524,ACFT00240,27A,PAX00039230,Premium Economy
SA00032954,FLT0068750,ACFT00142,30G,PAX00039231,Economy
SA00032955,FLT0053497,ACFT00337,1A,PAX00039232,Economy
SA00032956,FLT0036111,ACFT00364,4E,PAX00039233,Economy
SA00032957,FLT0036111,ACFT00364,39H,PAX00039234,Economy
SA00032958,FLT0014498,ACFT00384,44J,PAX00039235,Economy
SA00032959,FLT0007728,ACFT00382,13K,PAX00039236,Economy
SA00032960,FLT0035362,ACFT00217,3D,PAX00039237,Business
SA00032961,FLT0026072,ACFT00102,11F,PAX00039238,Economy
SA00032962,FLT0070423,ACFT00443,3F,PAX00039239,Economy
SA00032963,FLT0070423,ACFT00443,8B,PAX00039240,Economy
SA00032964,FLT0050368,ACFT00021,44C,PAX00039242,Business
SA00032965,FLT0045830,ACFT00055,25J,PAX00039243,Economy
SA00032966,FLT0020863,ACFT00426,32A,PAX00039244,Economy
SA00032967,FLT0068228,ACFT00463,29E,PAX00039245,Business
SA00032968,FLT0068228,ACFT00463,40C,PAX00039246,Economy
SA00032969,FLT0020156,ACFT00308,38B,PAX00039248,Economy
SA00032970,FLT0014763,ACFT00488,34F,PAX00039249,Economy
SA00032971,FLT0015323,ACFT00199,41E,PAX00039250,Economy
SA00032972,FLT0015323,ACFT00199,22K,PAX00039251,Premium Economy
SA00032973,FLT0029655,ACFT00497,27H,PAX00039252,First
SA00032974,FLT0029655,ACFT00497,7H,PAX00039253,Business
SA00032975,FLT0029655,ACFT00497,41G,PAX00039254,Business
SA00032976,FLT0029655,ACFT00497,7F,PAX00039255,Economy
SA00032977,FLT0040419,ACFT00191,25J,PAX00039256,Economy
SA00032978,FLT0040419,ACFT00191,34H,PAX00039257,Economy
SA00032979,FLT0046032,ACFT00061,15J,PAX00039258,Economy
SA00032980,FLT0046032,ACFT00061,19C,PAX00039259,Economy
SA00032981,FLT0050687,ACFT00159,21C,PAX00039260,Economy
SA00032982,FLT0050687,ACFT00159,22H,PAX00039261,Economy
SA00032983,FLT0078541,ACFT00312,21F,PAX00039262,Economy
SA00032984,FLT0078541,ACFT00312,6G,PAX00039263,Economy
SA00032985,FLT0078541,ACFT00312,30B,PAX00039264,Economy
SA00032986,FLT0078541,ACFT00312,39A,PAX00039265,Business
SA00032987,FLT0078695,ACFT00225,8F,PAX00039266,Economy
SA00032988,FLT0078695,ACFT00225,35H,PAX00039267,Economy
SA00032989,FLT0078695,ACFT00225,29A,PAX00039268,Premium Economy
SA00032990,FLT0078695,ACFT00225,18E,PAX00039269,Economy
SA00032991,FLT0078650,ACFT00565,6H,PAX00039270,Economy
SA00032992,FLT0030377,ACFT00081,15G,PAX00039272,Economy
SA00032993,FLT0030377,ACFT00081,26E,PAX00039273,Business
SA00032994,FLT0039723,ACFT00030,39H,PAX00039274,Business
SA00032995,FLT0039723,ACFT00030,38D,PAX00039275,Economy
SA00032996,FLT0060247,ACFT00335,9J,PAX00039276,Economy
SA00032997,FLT0072984,ACFT00160,38H,PAX00039277,First
SA00032998,FLT0065225,ACFT00512,20J,PAX00039279,Economy
SA00032999,FLT0065225,ACFT00512,3D,PAX00039280,Economy
SA00033000,FLT0007575,ACFT00464,35D,PAX00039281,Economy
SA00033001,FLT0007575,ACFT00464,43A,PAX00039282,Economy
SA00033002,FLT0007575,ACFT00464,31G,PAX00039283,Economy
SA00033003,FLT0011293,ACFT00124,17H,PAX00039284,Economy
SA00033004,FLT0011293,ACFT00124,13F,PAX00039285,Economy
SA00033005,FLT0027767,ACFT00400,3J,PAX00039287,Economy
SA00033006,FLT0017584,ACFT00289,7H,PAX00039289,Economy
SA00033007,FLT0017584,ACFT00289,25H,PAX00039290,Economy
SA00033008,FLT0037684,ACFT00243,4B,PAX00039291,Economy
SA00033009,FLT0037684,ACFT00243,19C,PAX00039292,Economy
SA00033010,FLT0010747,ACFT00297,10E,PAX00039293,Economy
SA00033011,FLT0003446,ACFT00204,32B,PAX00039294,Economy
SA00033012,FLT0003446,ACFT00204,10B,PAX00039296,Economy
SA00033013,FLT0057754,ACFT00486,29A,PAX00039297,Business
SA00033014,FLT0074505,ACFT00157,12C,PAX00039298,Economy
SA00033015,FLT0074505,ACFT00157,16E,PAX00039299,Economy
SA00033016,FLT0074505,ACFT00157,40J,PAX00039300,Economy
SA00033017,FLT0074505,ACFT00157,12A,PAX00039301,Economy
SA00033018,FLT0032330,ACFT00060,42J,PAX00039302,Premium Economy
SA00033019,FLT0032330,ACFT00060,37J,PAX00039303,Economy
SA00033020,FLT0032330,ACFT00060,32J,PAX00039304,Premium Economy
SA00033021,FLT0057410,ACFT00195,7B,PAX00039305,First
SA00033022,FLT0078379,ACFT00103,5C,PAX00039310,Economy
SA00033023,FLT0074080,ACFT00378,41C,PAX00039311,Economy
SA00033024,FLT0074080,ACFT00378,36A,PAX00039312,Economy
SA00033025,FLT0022584,ACFT00267,43D,PAX00039313,Economy
SA00033026,FLT0022584,ACFT00267,18C,PAX00039314,Economy
SA00033027,FLT0022584,ACFT00267,28H,PAX00039315,Premium Economy
SA00033028,FLT0004875,ACFT00284,36J,PAX00039316,Economy
SA00033029,FLT0004875,ACFT00284,1G,PAX00039317,Economy
SA00033030,FLT0004875,ACFT00284,20B,PAX00039318,Economy
SA00033031,FLT0027866,ACFT00310,14B,PAX00039319,Economy
SA00033032,FLT0069592,ACFT00486,14C,PAX00039320,Premium Economy
SA00033033,FLT0069592,ACFT00486,11G,PAX00039321,Business
SA00033034,FLT0069592,ACFT00486,21H,PAX00039322,Economy
SA00033035,FLT0005283,ACFT00565,41G,PAX00039323,Economy
SA00033036,FLT0005283,ACFT00565,27G,PAX00039324,Economy
SA00033037,FLT0044570,ACFT00024,5H,PAX00039325,Economy
SA00033038,FLT0044570,ACFT00024,39K,PAX00039326,Economy
SA00033039,FLT0062459,ACFT00155,30J,PAX00039327,Economy
SA00033040,FLT0062459,ACFT00155,40G,PAX00039328,Premium Economy
SA00033041,FLT0062459,ACFT00155,32G,PAX00039329,Economy
SA00033042,FLT0025342,ACFT00034,10G,PAX00039330,Economy
SA00033043,FLT0025342,ACFT00034,16J,PAX00039331,Economy
SA00033044,FLT0025342,ACFT00034,43D,PAX00039332,First
SA00033045,FLT0025342,ACFT00034,6J,PAX00039333,Economy
SA00033046,FLT0003714,ACFT00297,18J,PAX00039334,Economy
SA00033047,FLT0067347,ACFT00497,31A,PAX00039335,Economy
SA00033048,FLT0067347,ACFT00497,26H,PAX00039336,Premium Economy
SA00033049,FLT0079911,ACFT00294,2K,PAX00039337,Economy
SA00033050,FLT0079911,ACFT00294,13K,PAX00039339,Economy
SA00033051,FLT0042215,ACFT00461,4D,PAX00039340,Economy
SA00033052,FLT0027744,ACFT00011,17C,PAX00039341,Economy
SA00033053,FLT0027744,ACFT00011,36E,PAX00039342,Economy
SA00033054,FLT0027744,ACFT00011,8B,PAX00039344,Economy
SA00033055,FLT0030714,ACFT00190,24E,PAX00039346,Economy
SA00033056,FLT0030714,ACFT00190,22E,PAX00039347,Economy
SA00033057,FLT0030714,ACFT00190,22F,PAX00039348,Economy
SA00033058,FLT0014982,ACFT00569,23J,PAX00039349,Business
SA00033059,FLT0014982,ACFT00569,36C,PAX00039350,Premium Economy
SA00033060,FLT0014982,ACFT00569,10C,PAX00039351,First
SA00033061,FLT0025438,ACFT00211,30K,PAX00039352,Economy
SA00033062,FLT0004807,ACFT00532,29B,PAX00039353,Economy
SA00033063,FLT0004807,ACFT00532,9D,PAX00039354,Economy
SA00033064,FLT0004807,ACFT00532,40E,PAX00039355,Economy
SA00033065,FLT0004807,ACFT00532,1K,PAX00039356,Economy
SA00033066,FLT0019093,ACFT00163,34C,PAX00039357,Economy
SA00033067,FLT0014953,ACFT00147,13F,PAX00039358,Economy
SA00033068,FLT0078216,ACFT00029,20B,PAX00039360,Premium Economy
SA00033069,FLT0013561,ACFT00255,8C,PAX00039361,Premium Economy
SA00033070,FLT0076247,ACFT00317,12J,PAX00039362,Economy
SA00033071,FLT0007609,ACFT00101,23D,PAX00039363,Economy
SA00033072,FLT0007609,ACFT00101,9C,PAX00039364,Business
SA00033073,FLT0007609,ACFT00101,23F,PAX00039365,Economy
SA00033074,FLT0029201,ACFT00312,11H,PAX00039367,Economy
SA00033075,FLT0029201,ACFT00312,18A,PAX00039368,Economy
SA00033076,FLT0066435,ACFT00501,25B,PAX00039369,Economy
SA00033077,FLT0029212,ACFT00310,14F,PAX00039370,Economy
SA00033078,FLT0029212,ACFT00310,28E,PAX00039371,Economy
SA00033079,FLT0076701,ACFT00006,20H,PAX00039372,Premium Economy
SA00033080,FLT0076701,ACFT00006,33B,PAX00039373,Economy
SA00033081,FLT0073332,ACFT00560,3B,PAX00039374,Economy
SA00033082,FLT0073332,ACFT00560,4A,PAX00039375,Economy
SA00033083,FLT0073332,ACFT00560,25K,PAX00039376,Premium Economy
SA00033084,FLT0021838,ACFT00496,12D,PAX00039379,Economy
SA00033085,FLT0021838,ACFT00496,2F,PAX00039380,Economy
SA00033086,FLT0069593,ACFT00321,16G,PAX00039381,Economy
SA00033087,FLT0069593,ACFT00321,20E,PAX00039382,Economy
SA00033088,FLT0059024,ACFT00066,8K,PAX00039383,Economy
SA00033089,FLT0059024,ACFT00066,5J,PAX00039384,Business
SA00033090,FLT0059024,ACFT00066,25G,PAX00039385,Premium Economy
SA00033091,FLT0038875,ACFT00402,3A,PAX00039386,Economy
SA00033092,FLT0038558,ACFT00121,1A,PAX00039387,Economy
SA00033093,FLT0065097,ACFT00256,1A,PAX00039388,Economy
SA00033094,FLT0065097,ACFT00256,31K,PAX00039390,Economy
SA00033095,FLT0071734,ACFT00457,8H,PAX00039391,Economy
SA00033096,FLT0071734,ACFT00457,20E,PAX00039392,Economy
SA00033097,FLT0002794,ACFT00308,1A,PAX00039393,Economy
SA00033098,FLT0022612,ACFT00067,27C,PAX00039394,Business
SA00033099,FLT0022612,ACFT00067,3E,PAX00039395,Economy
SA00033100,FLT0022612,ACFT00067,14F,PAX00039396,Economy
SA00033101,FLT0064293,ACFT00130,37D,PAX00039397,Economy
SA00033102,FLT0007719,ACFT00392,23E,PAX00039398,Economy
SA00033103,FLT0007719,ACFT00392,15H,PAX00039399,Economy
SA00033104,FLT0007719,ACFT00392,32J,PAX00039400,Economy
SA00033105,FLT0010797,ACFT00581,34D,PAX00039402,Economy
SA00033106,FLT0049168,ACFT00193,35D,PAX00039403,Economy
SA00033107,FLT0050512,ACFT00101,29K,PAX00039404,Economy
SA00033108,FLT0050512,ACFT00101,12A,PAX00039405,Business
SA00033109,FLT0050512,ACFT00101,29K,PAX00039406,Economy
SA00033110,FLT0023218,ACFT00492,33C,PAX00039407,Economy
SA00033111,FLT0006936,ACFT00597,17K,PAX00039409,Premium Economy
SA00033112,FLT0028186,ACFT00464,34A,PAX00039410,Economy
SA00033113,FLT0010089,ACFT00533,6K,PAX00039411,Economy
SA00033114,FLT0010089,ACFT00533,37E,PAX00039412,Economy
SA00033115,FLT0009171,ACFT00228,42H,PAX00039413,Economy
SA00033116,FLT0069090,ACFT00056,35D,PAX00039414,Economy
SA00033117,FLT0069090,ACFT00056,38G,PAX00039415,Premium Economy
SA00033118,FLT0033475,ACFT00139,12F,PAX00039416,Economy
SA00033119,FLT0033475,ACFT00139,20H,PAX00039417,Premium Economy
SA00033120,FLT0033475,ACFT00139,9C,PAX00039418,Economy
SA00033121,FLT0032122,ACFT00384,35K,PAX00039419,Premium Economy
SA00033122,FLT0048424,ACFT00387,33C,PAX00039420,First
SA00033123,FLT0048424,ACFT00387,29F,PAX00039421,Economy
SA00033124,FLT0048424,ACFT00387,42C,PAX00039422,Economy
SA00033125,FLT0009740,ACFT00130,3H,PAX00039423,Economy
SA00033126,FLT0009740,ACFT00130,27A,PAX00039424,First
SA00033127,FLT0009740,ACFT00130,19H,PAX00039425,Economy
SA00033128,FLT0009740,ACFT00130,33K,PAX00039426,Economy
SA00033129,FLT0053688,ACFT00305,15J,PAX00039427,Premium Economy
SA00033130,FLT0053688,ACFT00305,44B,PAX00039428,Economy
SA00033131,FLT0067842,ACFT00231,11K,PAX00039429,Economy
SA00033132,FLT0067842,ACFT00231,37D,PAX00039430,Economy
SA00033133,FLT0007599,ACFT00100,10B,PAX00039431,Economy
SA00033134,FLT0034659,ACFT00163,32C,PAX00039432,Premium Economy
SA00033135,FLT0031600,ACFT00096,11E,PAX00039433,First
SA00033136,FLT0055263,ACFT00258,36D,PAX00039437,Economy
SA00033137,FLT0055263,ACFT00258,33C,PAX00039438,Economy
